codice_scuola|pc_desktop|pc_laptop|lim_aula|lim_laboratorio|lim_mobili|paule_lan|paule_wifi
"AGAA00306E"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGAA00803E"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA01001C"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA01604E"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGAA01943V"|"8,00"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGAA02101V"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA021042"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA021064"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA02205V"|"10,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA026012"|"2,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA03001N"|"45,00"|"1,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"
"AGAA03003Q"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA03504X"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA039014"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA041036"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGAA041047"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA04201X"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA042021"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA80601Q"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA80602R"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA80603T"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA81301V"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA81501E"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA81901T"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,22"
"AGAA82101T"|"10,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGAA82201N"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA82402A"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA82403B"|"7,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA826011"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA826022"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA826033"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA841013"|"6,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA84401E"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA84402G"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA84502B"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA84801T"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGAA85201D"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGAA85202E"|"5,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGCT70100L"|"14,00"|"24,00"|"0,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGCT70200C"|"12,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGCT70500X"|"21,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"|"1,00"
"AGCT70600Q"|"24,00"|"8,00"|"0,00"|"1,00"|"0,00"|"1,00"|"1,00"
"AGCT70800B"|"30,00"|"2,00"|"3,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGCT709007"|"10,00"|"5,00"|"1,00"|"0,00"|"0,00"|"1,00"|"1,00"
"AGEE00101V"|"18,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGEE001042"|"6,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
