codice_scuola|tipo_assenza|scuola|regionale|nazione
"AGEE00100T"|"Altri"|2|9|8
"AGEE00100T"|"Maternità"|0|1|2
"AGEE00100T"|"malattia"|10|17|15
"AGEE00200N"|"Altri"|3|9|8
"AGEE00200N"|"malattia"|12|17|15
"AGEE00200N"|"Maternità"|0|1|2
"AGEE00300D"|"malattia"|12|17|15
"AGEE00300D"|"Altri"|2|9|8
"AGEE00300D"|"Maternità"|0|1|2
"AGEE004009"|"Maternità"|0|1|2
"AGEE004009"|"malattia"|15|17|15
"AGEE004009"|"Altri"|7|9|8
"AGEE005005"|"Altri"|12|9|8
"AGEE005005"|"Maternità"|0|1|2
"AGEE005005"|"malattia"|27|17|15
"AGEE00800L"|"malattia"|6|17|15
"AGEE00800L"|"Maternità"|0|1|2
"AGEE00800L"|"Altri"|2|9|8
"AGEE00900C"|"Altri"|3|9|8
"AGEE00900C"|"malattia"|33|17|15
"AGEE00900C"|"Maternità"|1|1|2
"AGEE01000L"|"Altri"|12|9|8
"AGEE01000L"|"Maternità"|0|1|2
"AGEE01000L"|"malattia"|22|17|15
"AGEE01100C"|"Altri"|4|9|8
"AGEE01100C"|"malattia"|6|17|15
"AGEE01100C"|"Maternità"|0|1|2
"AGEE01500Q"|"Maternità"|0|1|2
"AGEE01500Q"|"Altri"|1|9|8
"AGEE01500Q"|"malattia"|31|17|15
"AGEE01600G"|"Altri"|7|9|8
"AGEE01600G"|"Maternità"|0|1|2
"AGEE01600G"|"malattia"|21|17|15
"AGEE019003"|"Altri"|6|9|8
"AGEE019003"|"Maternità"|13|1|2
"AGEE019003"|"malattia"|21|17|15
"AGEE020007"|"malattia"|4|17|15
"AGEE020007"|"Altri"|3|9|8
"AGEE020007"|"Maternità"|0|1|2
"AGEE021003"|"malattia"|84|17|15
"AGEE021003"|"Maternità"|1|1|2
"AGEE021003"|"Altri"|6|9|8
"AGEE02200V"|"Maternità"|0|1|2
"AGEE02200V"|"Altri"|11|9|8
"AGEE02200V"|"malattia"|9|17|15
"AGEE02400E"|"Altri"|4|9|8
"AGEE02400E"|"malattia"|9|17|15
"AGEE02400E"|"Maternità"|8|1|2
"AGEE026006"|"Altri"|23|9|8
"AGEE026006"|"Maternità"|0|1|2
"AGEE026006"|"malattia"|25|17|15
"AGEE02800T"|"Altri"|5|9|8
"AGEE02800T"|"malattia"|34|17|15
"AGEE02800T"|"Maternità"|0|1|2
"AGEE02900N"|"malattia"|31|17|15
"AGEE02900N"|"Maternità"|0|1|2
"AGEE02900N"|"Altri"|2|9|8
"AGEE03000T"|"Maternità"|4|1|2
"AGEE03000T"|"Altri"|24|9|8
"AGEE03000T"|"malattia"|39|17|15
"AGEE03100N"|"Altri"|17|9|8
"AGEE03100N"|"malattia"|28|17|15
"AGEE03100N"|"Maternità"|0|1|2
"AGEE034005"|"Maternità"|1|1|2
"AGEE034005"|"Altri"|2|9|8
"AGEE034005"|"malattia"|8|17|15
"AGEE035001"|"Maternità"|3|1|2
"AGEE035001"|"malattia"|42|17|15
"AGEE035001"|"Altri"|3|9|8
"AGEE039008"|"Altri"|13|9|8
"AGEE039008"|"Maternità"|0|1|2
"AGEE039008"|"malattia"|21|17|15
"AGEE041008"|"malattia"|31|17|15
"AGEE041008"|"Altri"|3|9|8
"AGEE041008"|"Maternità"|0|1|2
"AGEE042004"|"malattia"|35|17|15
"AGEE042004"|"Maternità"|0|1|2
"AGEE042004"|"Altri"|14|9|8
"AGEE04300X"|"Maternità"|1|1|2
"AGEE04300X"|"Altri"|8|9|8
