codice_scuola|tipo_assenza|scuola|regionale|nazione
"AGEE00100T"|"Altri"|2|5|4
"AGEE00100T"|"Maternità"|10|4|6
"AGEE00100T"|"malattia"|14|10|8
"AGEE00200N"|"Altri"|3|5|4
"AGEE00200N"|"Maternità"|1|4|6
"AGEE00200N"|"malattia"|11|10|8
"AGEE00300D"|"Altri"|3|5|4
"AGEE00300D"|"Maternità"|1|4|6
"AGEE00300D"|"malattia"|10|10|8
"AGEE004009"|"Altri"|3|5|4
"AGEE004009"|"Maternità"|0|4|6
"AGEE004009"|"malattia"|18|10|8
"AGEE005005"|"Altri"|2|5|4
"AGEE005005"|"Maternità"|3|4|6
"AGEE005005"|"malattia"|11|10|8
"AGEE00800L"|"Altri"|3|5|4
"AGEE00800L"|"Maternità"|13|4|6
"AGEE00800L"|"malattia"|9|10|8
"AGEE00900C"|"Altri"|3|5|4
"AGEE00900C"|"Maternità"|0|4|6
"AGEE00900C"|"malattia"|8|10|8
"AGEE01000L"|"Altri"|3|5|4
"AGEE01000L"|"Maternità"|7|4|6
"AGEE01000L"|"malattia"|11|10|8
"AGEE01100C"|"Altri"|3|5|4
"AGEE01100C"|"Maternità"|3|4|6
"AGEE01100C"|"malattia"|13|10|8
"AGEE01500Q"|"Altri"|3|5|4
"AGEE01500Q"|"Maternità"|0|4|6
"AGEE01500Q"|"malattia"|8|10|8
"AGEE01600G"|"Altri"|4|5|4
"AGEE01600G"|"Maternità"|1|4|6
"AGEE01600G"|"malattia"|13|10|8
"AGEE019003"|"Altri"|5|5|4
"AGEE019003"|"Maternità"|11|4|6
"AGEE019003"|"malattia"|16|10|8
"AGEE020007"|"Altri"|3|5|4
"AGEE020007"|"Maternità"|0|4|6
"AGEE020007"|"malattia"|10|10|8
"AGEE021003"|"Altri"|6|5|4
"AGEE021003"|"Maternità"|7|4|6
"AGEE021003"|"malattia"|14|10|8
"AGEE02200V"|"Altri"|4|5|4
"AGEE02200V"|"Maternità"|0|4|6
"AGEE02200V"|"malattia"|14|10|8
"AGEE02400E"|"Altri"|3|5|4
"AGEE02400E"|"Maternità"|2|4|6
"AGEE02400E"|"malattia"|8|10|8
"AGEE026006"|"Altri"|4|5|4
"AGEE026006"|"Maternità"|4|4|6
"AGEE026006"|"malattia"|10|10|8
"AGEE02800T"|"Altri"|5|5|4
"AGEE02800T"|"Maternità"|4|4|6
"AGEE02800T"|"malattia"|10|10|8
"AGEE02900N"|"Altri"|3|5|4
"AGEE02900N"|"Maternità"|0|4|6
"AGEE02900N"|"malattia"|10|10|8
"AGEE03000T"|"Altri"|8|5|4
"AGEE03000T"|"Maternità"|4|4|6
"AGEE03000T"|"malattia"|12|10|8
"AGEE03100N"|"Altri"|3|5|4
"AGEE03100N"|"Maternità"|0|4|6
"AGEE03100N"|"malattia"|9|10|8
"AGEE034005"|"Altri"|13|5|4
"AGEE034005"|"Maternità"|1|4|6
"AGEE034005"|"malattia"|11|10|8
"AGEE035001"|"Altri"|6|5|4
"AGEE035001"|"Maternità"|6|4|6
"AGEE035001"|"malattia"|19|10|8
"AGEE039008"|"Altri"|4|5|4
"AGEE039008"|"Maternità"|4|4|6
"AGEE039008"|"malattia"|10|10|8
"AGEE041008"|"Altri"|4|5|4
"AGEE041008"|"Maternità"|0|4|6
"AGEE041008"|"malattia"|18|10|8
"AGEE042004"|"Altri"|6|5|4
"AGEE042004"|"Maternità"|4|4|6
"AGEE042004"|"malattia"|7|10|8
"AGEE04300X"|"Altri"|16|5|4
"AGEE04300X"|"Maternità"|4|4|6
"AGEE04300X"|"malattia"|16|10|8
"AGIC805003"|"Altri"|2|5|4
"AGIC805003"|"Maternità"|15|4|6
"AGIC805003"|"malattia"|13|10|8
"AGIC80600V"|"Altri"|4|5|4
"AGIC80600V"|"Maternità"|4|4|6
"AGIC80600V"|"malattia"|17|10|8
"AGIC80700P"|"Altri"|3|5|4
"AGIC80700P"|"Maternità"|2|4|6
"AGIC80700P"|"malattia"|16|10|8
"AGIC80800E"|"Altri"|3|5|4
"AGIC80800E"|"Maternità"|1|4|6
"AGIC80800E"|"malattia"|19|10|8
"AGIC80900A"|"Altri"|3|5|4
"AGIC80900A"|"Maternità"|1|4|6
"AGIC80900A"|"malattia"|5|10|8
