codice_utente|maschi_indeterminato|femmine_indeterminato|maschi_determinato|femmine_determinato
"AGEE00100T"|0|32|0|0
"AGEE00101V"|0|32|0|0
"AGEE001042"|0|32|0|0
"AGEE00200N"|2|35|0|2
"AGEE00206X"|2|35|0|2
"AGEE002082"|2|35|0|2
"AGEE002116"|2|35|0|2
"AGEE00300D"|1|37|0|1
"AGEE00302G"|1|37|0|1
"AGEE004009"|1|26|0|0
"AGEE00401A"|1|26|0|0
"AGEE00408N"|1|26|0|0
"AGEE005005"|4|40|0|1
"AGEE005016"|4|40|0|1
"AGEE005049"|4|40|0|1
"AGEE00509E"|4|40|0|1
"AGEE00800L"|5|37|0|1
"AGEE00801N"|5|37|0|1
"AGEE00803Q"|5|37|0|1
"AGEE00804R"|5|37|0|1
"AGEE008081"|5|37|0|1
"AGEE00900C"|3|33|0|0
"AGEE00901D"|3|33|0|0
"AGEE00903G"|3|33|0|0
"AGEE01000L"|1|51|0|1
"AGEE01001N"|1|51|0|1
"AGEE01003Q"|1|51|0|1
"AGEE01100C"|5|44|0|1
"AGEE01102E"|5|44|0|1
"AGEE01104L"|5|44|0|1
"AGEE01500Q"|5|30|0|1
"AGEE01504X"|5|30|0|1
"AGEE015051"|5|30|0|1
"AGEE015062"|5|30|0|1
"AGEE01600G"|5|49|0|0
"AGEE01601L"|5|49|0|0
"AGEE01604Q"|5|49|0|0
"AGEE019003"|7|46|0|1
"AGEE019014"|7|46|0|1
"AGEE019036"|7|46|0|1
"AGEE020007"|2|22|0|1
"AGEE02003A"|2|22|0|1
"AGEE02029G"|2|22|0|1
"AGEE021003"|4|35|0|1
"AGEE021014"|4|35|0|1
"AGEE021036"|4|35|0|1
"AGEE02200V"|4|26|0|0
"AGEE02201X"|4|26|0|0
"AGEE02400E"|3|52|0|0
"AGEE02405Q"|3|52|0|0
"AGEE02406R"|3|52|0|0
"AGEE02407T"|3|52|0|0
"AGEE02408V"|3|52|0|0
"AGEE026006"|4|36|0|0
"AGEE02604A"|4|36|0|0
"AGEE02605B"|4|36|0|0
"AGEE02800T"|4|46|0|0
"AGEE02801V"|4|46|0|0
"AGEE028086"|4|46|0|0
"AGEE02900N"|3|26|0|0
"AGEE02901P"|3|26|0|0
"AGEE02905V"|3|26|0|0
"AGEE03000T"|1|17|0|0
"AGEE03001V"|1|17|0|0
"AGEE03100N"|2|36|0|0
"AGEE03101P"|2|36|0|0
"AGEE03105V"|2|36|0|0
"AGEE034005"|3|55|1|1
"AGEE034016"|3|55|1|1
"AGEE03406B"|3|55|1|1
"AGEE03407C"|3|55|1|1
"AGEE035001"|1|29|0|0
"AGEE035012"|1|29|0|0
"AGEE039008"|3|31|0|0
"AGEE039019"|3|31|0|0
"AGEE03903B"|3|31|0|0
"AGEE041008"|3|40|0|1
"AGEE041019"|3|40|0|1
"AGEE04103B"|3|40|0|1
"AGEE042004"|5|38|0|3
"AGEE042015"|5|38|0|3
"AGEE042026"|5|38|0|3
"AGEE042037"|5|38|0|3
"AGEE042048"|5|38|0|3
"AGEE04300X"|1|44|1|4
"AGEE043011"|1|44|1|4
"AGEE043033"|1|44|1|4
"AGEE70901G"|0|1|0|0
"AGEE805015"|2|15|0|0
"AGEE805026"|2|15|0|0
"AGEE806011"|1|17|0|0
"AGEE806022"|1|17|0|0
"AGEE806033"|1|17|0|0
"AGEE80702T"|5|30|0|0
"AGEE80703V"|5|30|0|0
"AGEE80801L"|1|27|0|1
"AGEE80901C"|0|16|0|1
"AGEE81001L"|2|28|0|1
"AGEE81002N"|2|28|0|1
"AGEE812018"|2|22|0|0
"AGEE812029"|2|22|0|0
"AGEE813014"|2|18|0|0
"AGEE81401X"|1|19|0|0
"AGEE81501Q"|3|13|0|0
"AGEE81701B"|2|24|0|0
"AGEE818017"|0|23|0|0
"AGEE818028"|0|23|0|0
"AGEE819013"|1|15|1|2
"AGEE820017"|2|24|0|0
"AGEE820028"|2|24|0|0
"AGEE821013"|0|8|0|0
"AGEE82201V"|0|6|0|0
"AGEE82301P"|0|20|0|0
"AGEE82401E"|2|15|0|0
"AGEE82402G"|2|15|0|0
"AGEE82403L"|2|15|0|0
"AGEE826016"|4|27|0|1
"AGEE826027"|4|27|0|1
"AGEE826038"|4|27|0|1
"AGEE827012"|0|8|0|0
"AGEE82801T"|1|12|0|0
"AGEE82901N"|3|15|0|0
"AGEE83001T"|2|30|0|0
"AGEE83101N"|1|8|0|1
"AGEE83201D"|2|24|0|0
"AGEE83203G"|2|24|0|0
"AGEE833019"|1|16|0|0
"AGEE834015"|1|34|0|2
"AGEE835011"|0|16|0|1
"AGEE83601R"|1|24|0|1
"AGEE83701L"|1|6|0|0
"AGEE83802D"|3|18|0|0
"AGEE83803E"|3|18|0|0
"AGEE83804G"|3|18|0|0
"AGEE839018"|0|17|0|0
"AGEE84001C"|0|15|0|0
"AGEE841018"|1|28|0|0
"AGEE842014"|0|7|0|0
"AGEE84301X"|1|15|0|1
"AGEE84401Q"|0|9|0|0
"AGEE84501G"|0|25|0|2
"AGEE84601B"|0|7|0|0
"AGEE84704A"|4|20|0|1
"AGEE84705B"|4|20|0|1
"AGEE848013"|3|21|0|0
"AGEE84901V"|1|24|0|0
"AGEE850013"|7|21|0|2
"AGEE850024"|7|21|0|2
"AGEE85101V"|1|31|0|0
"AGEE85102X"|1|31|0|0
"AGEE85201P"|2|37|0|0
"AGEE85202Q"|2|37|0|0
"AGIC805003"||||
"AGIC80600V"||||
"AGIC80700P"||||
"AGIC80800E"||||
"AGIC80900A"||||
"AGIC81000E"||||
"AGIC812006"||||
"AGIC813002"||||
"AGIC81400T"||||
"AGIC81500N"||||
"AGIC817009"||||
"AGIC818005"||||
"AGIC819001"||||
"AGIC820005"||||
"AGIC821001"||||
"AGIC82200R"||||
"AGIC82300L"||||
"AGIC82400C"||||
"AGIC825008"||||
"AGIC826004"||||
"AGIC82700X"||||
"AGIC82800Q"||||
"AGIC82900G"||||
"AGIC83000Q"||||
"AGIC83100G"||||
"AGIC83200B"||||
"AGIC833007"||||
"AGIC834003"||||
"AGIC83500V"||||
"AGIC83600P"||||
"AGIC83700E"||||
"AGIC83800A"||||
"AGIC839006"||||
"AGIC84000A"||||
"AGIC841006"||||
"AGIC842002"||||
"AGIC84300T"||||
"AGIC84400N"||||
"AGIC84500D"||||
"AGIC846009"||||
"AGIC847005"||||
"AGIC848001"||||
"AGIC84900R"||||
"AGIC850001"||||
"AGIC85100R"||||
"AGIC85200L"||||
"AGIS00100X"||||
"AGIS00200Q"||||
"AGIS00300G"||||
"AGIS006003"||||
"AGIS00800P"||||
"AGIS01100E"||||
"AGIS01200A"||||
"AGIS013006"||||
"AGIS014002"||||
"AGIS01600N"||||
"AGMM004008"|7|17|1|
"AGMM01500P"|9|35|6|5
"AGMM03800B"|13|27|7|2
"AGMM054009"|14|38|1|1
"AGMM06700B"|14|23|1|3
"AGMM07200V"|17|52||4
"AGMM805014"|2|6|3|4
"AGMM805025"||3|2|3
"AGMM80601X"|7|8||1
"AGMM80701Q"|8|9||3
"AGMM80702R"|1|5|2|4
"AGMM80801G"|3|20|2|2
"AGMM80901B"|6|12|1|3
"AGMM81001G"|1|6|2|16
"AGMM81002L"|||3|5
"AGMM812017"|3|4|1|3
"AGMM812028"|5|12|3|3
"AGMM813013"|2|10||4
"AGMM81401V"|9|5|3|2
"AGMM81501P"|3|10|5|
"AGMM81701A"|5|16|1|1
"AGMM818016"|8|18|6|6
"AGMM819012"|4|9|2|3
"AGMM820016"|8|17||
"AGMM821012"|1|6|2|
"AGMM82201T"|9|28|1|
"AGMM82301N"|8|31|1|2
"AGMM82302P"||3|1|4
"AGMM82401D"|4|23|2|
"AGMM825019"|7|26|1|4
"AGMM826015"|5|11||
"AGMM826026"|3|5||1
"AGMM826037"|1|4|1|3
"AGMM827011"|5|13|4|2
"AGMM82801R"|10|23|2|5
"AGMM82901L"|6|23|6|5
"AGMM83001R"|8|30|1|2
"AGMM83101L"|9|28|7|2
"AGMM83201C"|11|11|2|1
"AGMM833018"|9|31||4
"AGMM834014"|6|28|1|
"AGMM83501X"|2|10|1|1
"AGMM83601Q"|11|37|1|1
"AGMM83701G"|8|24|1|3
"AGMM83702L"|1|3|1|1
"AGMM83801B"|7|15||3
"AGMM839017"|9|31||1
"AGMM84001B"|3|17|2|
"AGMM841017"|12|21|2|2
"AGMM842013"|13|30||2
"AGMM842024"||3||
"AGMM84301V"|10|30|5|6
"AGMM84401P"|13|22|1|4
"AGMM84501E"|11|26|1|1
"AGMM84601A"|8|22|3|1
"AGMM84602B"||4||
"AGMM84603C"|2|9||1
"AGMM847016"|4|12||1
"AGMM848012"|8|22|4|6
"AGMM84901T"|6|12||5
"AGMM850012"||2|1|5
"AGMM85101T"|9|15|1|5
