codice_utente|fascia_eta|indeterminato|determinato
"AGEE00101V"|4|15.6|0
"AGEE00101V"|5|34.4|0
"AGEE00101V"|6|50|0
"AGEE00206X"|3|2.6|0
"AGEE00206X"|4|23.1|5.1
"AGEE00206X"|5|35.9|0
"AGEE00206X"|6|33.3|0
"AGEE00302G"|4|28.2|2.6
"AGEE00302G"|5|43.6|0
"AGEE00302G"|6|25.6|0
"AGEE00401A"|4|18.5|0
"AGEE00401A"|5|44.4|0
"AGEE00401A"|6|37|0
"AGEE005016"|4|28.9|0
"AGEE005016"|5|24.4|0
"AGEE005016"|6|44.4|2.2
"AGEE00801N"|3|2.3|0
"AGEE00801N"|4|27.9|0
"AGEE00801N"|5|41.9|2.3
"AGEE00801N"|6|25.6|0
"AGEE00901D"|4|16.7|0
"AGEE00901D"|5|47.2|0
"AGEE00901D"|6|36.1|0
"AGEE01001N"|4|30.2|0
"AGEE01001N"|5|35.8|0
"AGEE01001N"|6|32.1|1.9
"AGEE01104L"|3|0|2
"AGEE01104L"|4|28|0
"AGEE01104L"|5|46|0
"AGEE01104L"|6|24|0
"AGEE01504X"|4|16.7|0
"AGEE01504X"|5|50|0
"AGEE01504X"|6|30.6|2.8
"AGEE01604Q"|4|14.8|0
"AGEE01604Q"|5|42.6|0
"AGEE01604Q"|6|42.6|0
"AGEE019014"|3|3.7|1.9
"AGEE019014"|4|18.5|0
"AGEE019014"|5|55.6|0
"AGEE019014"|6|20.4|0
"AGEE02029G"|4|32|0
"AGEE02029G"|5|36|4
"AGEE02029G"|6|28|0
"AGEE021014"|3|2.5|0
"AGEE021014"|4|17.5|0
"AGEE021014"|5|45|2.5
"AGEE021014"|6|32.5|0
"AGEE02201X"|4|26.7|0
"AGEE02201X"|5|33.3|0
"AGEE02201X"|6|40|0
"AGEE02405Q"|4|18.2|0
"AGEE02405Q"|5|52.7|0
"AGEE02405Q"|6|29.1|0
"AGEE02604A"|4|27.5|0
"AGEE02604A"|5|45|0
"AGEE02604A"|6|27.5|0
"AGEE02801V"|4|36|0
"AGEE02801V"|5|44|0
"AGEE02801V"|6|20|0
"AGEE02901P"|4|10.3|0
"AGEE02901P"|5|37.9|0
"AGEE02901P"|6|51.7|0
"AGEE03001V"|3|5.6|0
"AGEE03001V"|4|11.1|0
"AGEE03001V"|5|38.9|0
"AGEE03001V"|6|44.4|0
"AGEE03101P"|4|28.9|0
"AGEE03101P"|5|42.1|0
"AGEE03101P"|6|28.9|0
"AGEE03407C"|3|1.7|0
"AGEE03407C"|4|36.7|0
"AGEE03407C"|5|43.3|1.7
"AGEE03407C"|6|15|1.7
"AGEE035012"|4|46.7|0
"AGEE035012"|5|36.7|0
"AGEE035012"|6|16.7|0
"AGEE039019"|4|11.8|0
"AGEE039019"|5|55.9|0
"AGEE039019"|6|32.4|0
"AGEE041019"|4|15.9|0
"AGEE041019"|5|36.4|2.3
"AGEE041019"|6|45.5|0
"AGEE042015"|3|0|4.3
"AGEE042015"|4|21.7|0
"AGEE042015"|5|37|2.2
"AGEE042015"|6|34.8|0
"AGEE043011"|3|4|2
"AGEE043011"|4|18|2
"AGEE043011"|5|44|4
"AGEE043011"|6|24|2
"AGEE70901G"|5|100|0
"AGEE805026"|4|17.6|0
"AGEE805026"|5|35.3|0
"AGEE805026"|6|47.1|0
"AGEE806011"|4|11.1|0
"AGEE806011"|5|38.9|0
"AGEE806011"|6|50|0
"AGEE80702T"|3|2.9|0
"AGEE80702T"|4|37.1|0
"AGEE80702T"|5|40|0
"AGEE80702T"|6|20|0
"AGEE80801L"|3|0|3.4
"AGEE80801L"|4|24.1|0
"AGEE80801L"|5|31|0
"AGEE80801L"|6|41.4|0
"AGEE80901C"|4|35.3|0
"AGEE80901C"|5|41.2|5.9
"AGEE80901C"|6|17.6|0
"AGEE81001L"|3|3.2|0
"AGEE81001L"|4|29|0
"AGEE81001L"|5|35.5|3.2
"AGEE81001L"|6|29|0
"AGEE812018"|4|16.7|0
"AGEE812018"|5|54.2|0
"AGEE812018"|6|29.2|0
"AGEE813014"|3|5|0
"AGEE813014"|4|15|0
"AGEE813014"|5|55|0
"AGEE813014"|6|25|0
"AGEE81401X"|3|5|0
"AGEE81401X"|4|15|0
"AGEE81401X"|5|55|0
"AGEE81401X"|6|25|0
"AGEE81501Q"|4|18.8|0
"AGEE81501Q"|5|31.3|0
"AGEE81501Q"|6|50|0
"AGEE81701B"|4|7.7|0
"AGEE81701B"|5|53.8|0
"AGEE81701B"|6|38.5|0
"AGEE818017"|4|30.4|0
"AGEE818017"|5|43.5|0
"AGEE818017"|6|26.1|0
"AGEE819013"|4|26.3|5.3
"AGEE819013"|5|42.1|10.5
"AGEE819013"|6|15.8|0
"AGEE820017"|4|26.9|0
"AGEE820017"|5|26.9|0
"AGEE820017"|6|46.2|0
"AGEE821013"|3|12.5|0
"AGEE821013"|4|37.5|0
"AGEE821013"|5|25|0
"AGEE821013"|6|25|0
"AGEE82201V"|5|66.7|0
"AGEE82201V"|6|33.3|0
"AGEE82301P"|4|40|0
"AGEE82301P"|5|30|0
"AGEE82301P"|6|30|0
"AGEE82402G"|4|41.2|0
"AGEE82402G"|5|41.2|0
"AGEE82402G"|6|17.6|0
"AGEE826016"|4|12.5|0
"AGEE826016"|5|53.1|0
"AGEE826016"|6|31.3|3.1
"AGEE827012"|4|50|0
"AGEE827012"|5|37.5|0
"AGEE827012"|6|12.5|0
"AGEE82801T"|4|23.1|0
"AGEE82801T"|5|23.1|0
"AGEE82801T"|6|53.8|0
"AGEE82901N"|4|38.9|0
"AGEE82901N"|5|33.3|0
"AGEE82901N"|6|27.8|0
"AGEE83001T"|4|37.5|0
"AGEE83001T"|5|46.9|0
"AGEE83001T"|6|15.6|0
"AGEE83101N"|3|10|0
"AGEE83101N"|4|10|0
"AGEE83101N"|5|10|10
"AGEE83101N"|6|60|0
"AGEE83201D"|4|26.9|0
"AGEE83201D"|5|50|0
"AGEE83201D"|6|23.1|0
"AGEE833019"|3|11.8|0
"AGEE833019"|4|23.5|0
"AGEE833019"|5|47.1|0
"AGEE833019"|6|17.6|0
"AGEE834015"|3|5.4|0
"AGEE834015"|4|27|2.7
"AGEE834015"|5|51.4|2.7
"AGEE834015"|6|10.8|0
"AGEE835011"|3|5.9|5.9
"AGEE835011"|4|29.4|0
"AGEE835011"|5|35.3|0
"AGEE835011"|6|23.5|0
"AGEE83601R"|4|26.9|0
"AGEE83601R"|5|53.8|3.8
"AGEE83601R"|6|15.4|0
"AGEE83701L"|5|71.4|0
"AGEE83701L"|6|28.6|0
"AGEE83802D"|4|28.6|0
"AGEE83802D"|5|57.1|0
"AGEE83802D"|6|14.3|0
"AGEE839018"|4|29.4|0
"AGEE839018"|5|47.1|0
"AGEE839018"|6|23.5|0
"AGEE84001C"|3|6.7|0
"AGEE84001C"|4|6.7|0
"AGEE84001C"|5|60|0
"AGEE84001C"|6|26.7|0
"AGEE841018"|4|13.8|0
"AGEE841018"|5|69|0
"AGEE841018"|6|17.2|0
"AGEE842014"|4|57.1|0
"AGEE842014"|5|14.3|0
"AGEE842014"|6|28.6|0
"AGEE84301X"|4|35.3|0
"AGEE84301X"|5|41.2|5.9
"AGEE84301X"|6|17.6|0
"AGEE84401Q"|4|33.3|0
"AGEE84401Q"|5|55.6|0
"AGEE84401Q"|6|11.1|0
"AGEE84501G"|4|44.4|0
"AGEE84501G"|5|37|3.7
"AGEE84501G"|6|11.1|3.7
"AGEE84601B"|5|71.4|0
"AGEE84601B"|6|28.6|0
"AGEE84705B"|4|24|0
"AGEE84705B"|5|52|0
"AGEE84705B"|6|20|4
"AGEE848013"|4|29.2|0
"AGEE848013"|5|58.3|0
"AGEE848013"|6|12.5|0
"AGEE84901V"|3|4|0
"AGEE84901V"|4|44|0
"AGEE84901V"|5|32|0
"AGEE84901V"|6|20|0
"AGEE850013"|3|3.3|0
"AGEE850013"|4|36.7|3.3
"AGEE850013"|5|30|3.3
"AGEE850013"|6|23.3|0
"AGEE85101V"|4|28.1|0
"AGEE85101V"|5|53.1|0
"AGEE85101V"|6|18.8|0
"AGEE85201P"|4|17.9|0
"AGEE85201P"|5|46.2|0
"AGEE85201P"|6|35.9|0
"AGMM004008"|5|36|0
"AGMM004008"|6|60|4
"AGMM01500P"|3|3.6|7.3
"AGMM01500P"|4|12.7|5.5
"AGMM01500P"|5|21.8|7.3
"AGMM01500P"|6|41.8|0
"AGMM03800B"|3|0|8.2
"AGMM03800B"|4|12.2|8.2
"AGMM03800B"|5|36.7|2
"AGMM03800B"|6|32.7|0
"AGMM054009"|3|0|1.9
"AGMM054009"|4|16.7|1.9
"AGMM054009"|5|24.1|0
"AGMM054009"|6|55.6|0
"AGMM06700B"|3|0|2.4
"AGMM06700B"|4|9.8|7.3
"AGMM06700B"|5|26.8|0
"AGMM06700B"|6|53.7|0
"AGMM07200V"|4|8.2|2.7
"AGMM07200V"|5|26|2.7
"AGMM07200V"|6|60.3|0
"AGMM805014"|4|20|20
"AGMM805014"|5|13.3|20
"AGMM805014"|6|20|6.7
"AGMM805025"|4|12.5|12.5
"AGMM805025"|5|25|25
"AGMM805025"|6|0|25
"AGMM80601X"|3|0|6.3
"AGMM80601X"|4|18.8|0
"AGMM80601X"|5|12.5|0
"AGMM80601X"|6|62.5|0
"AGMM80701Q"|4|5|0
"AGMM80701Q"|5|15|15
"AGMM80701Q"|6|65|0
"AGMM80702R"|4|0|16.7
"AGMM80702R"|5|16.7|25
"AGMM80702R"|6|33.3|8.3
"AGMM80801G"|3|0|7.4
"AGMM80801G"|4|11.1|3.7
"AGMM80801G"|5|48.1|0
"AGMM80801G"|6|25.9|3.7
"AGMM80901B"|3|0|4.5
"AGMM80901B"|4|31.8|9.1
"AGMM80901B"|5|40.9|4.5
"AGMM80901B"|6|9.1|0
"AGMM81001G"|3|0|8
"AGMM81001G"|4|16|52
"AGMM81001G"|5|8|12
"AGMM81001G"|6|4|0
"AGMM81002L"|3|0|50
"AGMM81002L"|4|0|12.5
"AGMM81002L"|5|0|37.5
"AGMM812017"|3|0|9.1
"AGMM812017"|4|0|9.1
"AGMM812017"|5|36.4|18.2
"AGMM812017"|6|27.3|0
"AGMM812028"|3|0|4.3
"AGMM812028"|4|0|13
"AGMM812028"|5|13|8.7
"AGMM812028"|6|60.9|0
"AGMM813013"|3|0|6.3
"AGMM813013"|4|6.3|0
"AGMM813013"|5|25|18.8
"AGMM813013"|6|43.8|0
"AGMM81401V"|3|0|10.5
"AGMM81401V"|4|21.1|10.5
"AGMM81401V"|5|10.5|5.3
"AGMM81401V"|6|42.1|0
"AGMM81501P"|3|0|11.1
"AGMM81501P"|4|11.1|5.6
"AGMM81501P"|5|22.2|5.6
"AGMM81501P"|6|38.9|5.6
"AGMM81701A"|3|4.3|0
"AGMM81701A"|4|8.7|0
"AGMM81701A"|5|39.1|4.3
"AGMM81701A"|6|39.1|4.3
"AGMM818016"|3|0|5.3
"AGMM818016"|4|18.4|18.4
"AGMM818016"|5|26.3|5.3
"AGMM818016"|6|23.7|2.6
"AGMM819012"|3|0|16.7
"AGMM819012"|4|16.7|5.6
"AGMM819012"|5|22.2|5.6
"AGMM819012"|6|33.3|0
"AGMM820016"|5|24|0
"AGMM820016"|6|76|0
"AGMM821012"|4|33.3|11.1
"AGMM821012"|5|11.1|11.1
"AGMM821012"|6|33.3|0
"AGMM82201T"|4|15.8|2.6
