codice_utente|scuola|regione|nazionale
"AGEE00100T"|6.3|3.0|3.3
"AGEE00101V"|6.3|3.0|3.3
"AGEE001042"|6.3|3.0|3.3
"AGEE00200N"|2.7|3.0|3.3
"AGEE00206X"|2.7|3.0|3.3
"AGEE002082"|2.7|3.0|3.3
"AGEE002116"|2.7|3.0|3.3
"AGEE00300D"|5.3|3.0|3.3
"AGEE00302G"|5.3|3.0|3.3
"AGEE004009"|3.7|3.0|3.3
"AGEE00401A"|3.7|3.0|3.3
"AGEE00408N"|3.7|3.0|3.3
"AGEE005005"|2.3|3.0|3.3
"AGEE005016"|2.3|3.0|3.3
"AGEE005049"|2.3|3.0|3.3
"AGEE00509E"|2.3|3.0|3.3
"AGEE00800L"|4.8|3.0|3.3
"AGEE00801N"|4.8|3.0|3.3
"AGEE00803Q"|4.8|3.0|3.3
"AGEE00804R"|4.8|3.0|3.3
"AGEE008081"|4.8|3.0|3.3
"AGEE00900C"|5.6|3.0|3.3
"AGEE00901D"|5.6|3.0|3.3
"AGEE00903G"|5.6|3.0|3.3
"AGEE01000L"|3.8|3.0|3.3
"AGEE01001N"|3.8|3.0|3.3
"AGEE01003Q"|3.8|3.0|3.3
"AGEE01100C"|2.0|3.0|3.3
"AGEE01102E"|2.0|3.0|3.3
"AGEE01104L"|2.0|3.0|3.3
"AGEE01500Q"|2.9|3.0|3.3
"AGEE01504X"|2.9|3.0|3.3
"AGEE015051"|2.9|3.0|3.3
"AGEE015062"|2.9|3.0|3.3
"AGEE01600G"|9.3|3.0|3.3
"AGEE01601L"|9.3|3.0|3.3
"AGEE01604Q"|9.3|3.0|3.3
"AGEE019003"|0.0|3.0|3.3
"AGEE019014"|0.0|3.0|3.3
"AGEE019036"|0.0|3.0|3.3
"AGEE020007"|0.0|3.0|3.3
"AGEE02003A"|0.0|3.0|3.3
"AGEE02029G"|0.0|3.0|3.3
"AGEE021003"|0.0|3.0|3.3
"AGEE021014"|0.0|3.0|3.3
"AGEE021036"|0.0|3.0|3.3
"AGEE02200V"|3.3|3.0|3.3
"AGEE02201X"|3.3|3.0|3.3
"AGEE02400E"|1.8|3.0|3.3
"AGEE02405Q"|1.8|3.0|3.3
"AGEE02406R"|1.8|3.0|3.3
"AGEE02407T"|1.8|3.0|3.3
"AGEE02408V"|1.8|3.0|3.3
"AGEE026006"|2.5|3.0|3.3
"AGEE02604A"|2.5|3.0|3.3
"AGEE02605B"|2.5|3.0|3.3
"AGEE02800T"|4.0|3.0|3.3
"AGEE02801V"|4.0|3.0|3.3
"AGEE028086"|4.0|3.0|3.3
"AGEE02900N"|20.7|3.0|3.3
"AGEE02901P"|20.7|3.0|3.3
"AGEE02905V"|20.7|3.0|3.3
"AGEE03000T"|5.6|3.0|3.3
"AGEE03001V"|5.6|3.0|3.3
"AGEE03100N"|2.6|3.0|3.3
"AGEE03101P"|2.6|3.0|3.3
"AGEE03105V"|2.6|3.0|3.3
"AGEE034005"|3.4|3.0|3.3
"AGEE034016"|3.4|3.0|3.3
"AGEE03406B"|3.4|3.0|3.3
"AGEE03407C"|3.4|3.0|3.3
"AGEE035001"|0.0|3.0|3.3
"AGEE035012"|0.0|3.0|3.3
"AGEE039008"|0.0|3.0|3.3
"AGEE039019"|0.0|3.0|3.3
"AGEE03903B"|0.0|3.0|3.3
"AGEE041008"|7.0|3.0|3.3
"AGEE041019"|7.0|3.0|3.3
"AGEE04103B"|7.0|3.0|3.3
"AGEE042004"|11.6|3.0|3.3
"AGEE042015"|11.6|3.0|3.3
"AGEE042026"|11.6|3.0|3.3
"AGEE042037"|11.6|3.0|3.3
"AGEE042048"|11.6|3.0|3.3
"AGEE04300X"|2.2|3.0|3.3
"AGEE043011"|2.2|3.0|3.3
"AGEE043033"|2.2|3.0|3.3
"AGEE70901G"|0.0|3.0|3.3
"AGEE805015"|5.9|3.0|3.3
"AGEE805026"|5.9|3.0|3.3
"AGEE806011"|0.0|3.0|3.3
"AGEE806022"|0.0|3.0|3.3
"AGEE806033"|0.0|3.0|3.3
"AGEE80702T"|0.0|3.0|3.3
"AGEE80703V"|0.0|3.0|3.3
"AGEE80801L"|0.0|3.0|3.3
"AGEE80901C"|0.0|3.0|3.3
"AGEE81001L"|0.0|3.0|3.3
"AGEE81002N"|0.0|3.0|3.3
"AGEE812018"|4.2|3.0|3.3
"AGEE812029"|4.2|3.0|3.3
"AGEE813014"|0.0|3.0|3.3
"AGEE81401X"|0.0|3.0|3.3
"AGEE81501Q"|6.3|3.0|3.3
"AGEE81701B"|15.4|3.0|3.3
"AGEE818017"|4.3|3.0|3.3
"AGEE818028"|4.3|3.0|3.3
"AGEE819013"|0.0|3.0|3.3
"AGEE820017"|3.8|3.0|3.3
"AGEE820028"|3.8|3.0|3.3
"AGEE821013"|0.0|3.0|3.3
"AGEE82201V"|16.7|3.0|3.3
"AGEE82301P"|5.0|3.0|3.3
"AGEE82401E"|0.0|3.0|3.3
"AGEE82402G"|0.0|3.0|3.3
"AGEE82403L"|0.0|3.0|3.3
"AGEE826016"|6.5|3.0|3.3
"AGEE826027"|6.5|3.0|3.3
"AGEE826038"|6.5|3.0|3.3
"AGEE827012"|0.0|3.0|3.3
"AGEE82801T"|23.1|3.0|3.3
"AGEE82901N"|11.1|3.0|3.3
"AGEE83001T"|6.3|3.0|3.3
"AGEE83101N"|11.1|3.0|3.3
"AGEE83201D"|0.0|3.0|3.3
"AGEE83203G"|0.0|3.0|3.3
"AGEE833019"|0.0|3.0|3.3
"AGEE834015"|2.9|3.0|3.3
"AGEE835011"|0.0|3.0|3.3
"AGEE83601R"|0.0|3.0|3.3
"AGEE83701L"|0.0|3.0|3.3
"AGEE83802D"|4.8|3.0|3.3
"AGEE83803E"|4.8|3.0|3.3
"AGEE83804G"|4.8|3.0|3.3
"AGEE839018"|0.0|3.0|3.3
"AGEE84001C"|6.7|3.0|3.3
"AGEE841018"|3.4|3.0|3.3
"AGEE842014"|14.3|3.0|3.3
"AGEE84301X"|0.0|3.0|3.3
"AGEE84401Q"|0.0|3.0|3.3
"AGEE84501G"|0.0|3.0|3.3
"AGEE84601B"|0.0|3.0|3.3
"AGEE84704A"|0.0|3.0|3.3
"AGEE84705B"|0.0|3.0|3.3
"AGEE848013"|0.0|3.0|3.3
"AGEE84901V"|0.0|3.0|3.3
"AGEE850013"|0.0|3.0|3.3
"AGEE850024"|0.0|3.0|3.3
"AGEE85101V"|0.0|3.0|3.3
"AGEE85102X"|0.0|3.0|3.3
"AGEE85201P"|5.1|3.0|3.3
"AGEE85202Q"|5.1|3.0|3.3
"AGMM004008"|20.8|6.0|5.7
"AGMM01500P"|9.1|6.0|5.7
"AGMM03800B"|5.0|6.0|5.7
"AGMM054009"|3.8|6.0|5.7
"AGMM06700B"|2.7|6.0|5.7
"AGMM07200V"|4.3|6.0|5.7
"AGMM805014"|0.0|6.0|5.7
"AGMM805025"|0.0|6.0|5.7
"AGMM80601X"|20.0|6.0|5.7
"AGMM80701Q"|23.5|6.0|5.7
"AGMM80702R"|33.3|6.0|5.7
"AGMM80801G"|4.3|6.0|5.7
"AGMM80901B"|0.0|6.0|5.7
"AGMM81001G"|0.0|6.0|5.7
"AGMM81002L"||6.0|5.7
"AGMM812017"|0.0|6.0|5.7
"AGMM812028"|11.8|6.0|5.7
"AGMM813013"|0.0|6.0|5.7
"AGMM81401V"|7.1|6.0|5.7
"AGMM81501P"|0.0|6.0|5.7
"AGMM81701A"|23.8|6.0|5.7
"AGMM818016"|7.7|6.0|5.7
"AGMM819012"|0.0|6.0|5.7
"AGMM820016"|12.0|6.0|5.7
"AGMM821012"|0.0|6.0|5.7
"AGMM82201T"|8.1|6.0|5.7
"AGMM82301N"|12.8|6.0|5.7
"AGMM82302P"|0.0|6.0|5.7
"AGMM82401D"|0.0|6.0|5.7
"AGMM825019"|9.1|6.0|5.7
"AGMM826015"|0.0|6.0|5.7
"AGMM826026"|0.0|6.0|5.7
"AGMM826037"|0.0|6.0|5.7
"AGMM827011"|0.0|6.0|5.7
"AGMM82801R"|15.2|6.0|5.7
"AGMM82901L"|3.4|6.0|5.7
"AGMM83001R"|5.3|6.0|5.7
"AGMM83101L"|8.1|6.0|5.7
"AGMM83201C"|0.0|6.0|5.7
"AGMM833018"|2.5|6.0|5.7
"AGMM834014"|17.6|6.0|5.7
"AGMM83501X"|0.0|6.0|5.7
"AGMM83601Q"|4.2|6.0|5.7
"AGMM83701G"|3.1|6.0|5.7
"AGMM83702L"|0.0|6.0|5.7
"AGMM83801B"|9.1|6.0|5.7
"AGMM839017"|12.5|6.0|5.7
"AGMM84001B"|5.0|6.0|5.7
"AGMM841017"|18.2|6.0|5.7
"AGMM842013"|4.7|6.0|5.7
"AGMM842024"|0.0|6.0|5.7
"AGMM84301V"|5.0|6.0|5.7
"AGMM84401P"|11.4|6.0|5.7
"AGMM84501E"|5.4|6.0|5.7
"AGMM84601A"|6.7|6.0|5.7
"AGMM84602B"|0.0|6.0|5.7
"AGMM84603C"|9.1|6.0|5.7
"AGMM847016"|0.0|6.0|5.7
"AGMM848012"|0.0|6.0|5.7
"AGMM84901T"|11.1|6.0|5.7
"AGMM850012"|50.0|6.0|5.7
"AGMM85101T"|0.0|6.0|5.7
"AGMM85201N"|8.0|6.0|5.7
"AGPC001017"|3.4|4.3|4.5
"AGPC008012"|0.0|4.3|4.5
"AGPC010001"|5.0|4.3|4.5
"AGPC02000G"|0.0|4.3|4.5
"AGPC060002"|3.3|4.3|4.5
"AGPM002017"|0.0|4.3|4.5
"AGPM010005"|1.5|4.3|4.5
"AGPM02000Q"|5.3|4.3|4.5
"AGPM03000A"|6.1|4.3|4.5
"AGPM060006"|0.0|4.3|4.5
"AGPS00101A"|2.0|4.3|4.5
"AGPS002016"|0.0|4.3|4.5
"AGPS002027"|5.6|4.3|4.5
"AGPS008015"|0.0|4.3|4.5
"AGPS02000P"|7.3|4.3|4.5
"AGPS030009"|5.9|4.3|4.5
"AGPS05000E"|1.8|4.3|4.5
"AGPS060005"|1.8|4.3|4.5
"AGPS08000A"|0.0|4.3|4.5
"AGRA00301G"|0.0|4.3|4.5
"AGRC01000L"|6.6|4.3|4.5
"AGRC01001N"|0.0|4.3|4.5
"AGRC01005T"|2.8|4.3|4.5
"AGRC01601L"|10.0|4.3|4.5
"AGRC01602N"|0.0|4.3|4.5
