codice_utente|docenti_maschi_totale|docenti_femmine_totale|docenti_maschi_sostegno|docenti_femmine_sostegno|ata_m|ata_f
"AGEE00100T"|0|32|0|3|5|7
"AGEE00101V"|0|32|0|3||
"AGEE001042"|0|32|0|3||
"AGEE00200N"|2|37|0|5|12|2
"AGEE00206X"|2|37|0|5||
"AGEE002082"|2|37|0|5||
"AGEE002116"|2|37|0|5||
"AGEE00300D"|1|38|0|6|10|3
"AGEE00302G"|1|38|0|6||
"AGEE004009"|1|26|0|3|9|4
"AGEE00401A"|1|26|0|3||
"AGEE00408N"|1|26|0|3||
"AGEE005005"|4|41|2|1|14|5
"AGEE005016"|4|41|2|1||
"AGEE005049"|4|41|2|1||
"AGEE00509E"|4|41|2|1||
"AGEE00800L"|5|38|0|4|7|7
"AGEE00801N"|5|38|0|4||
"AGEE00803Q"|5|38|0|4||
"AGEE00804R"|5|38|0|4||
"AGEE008081"|5|38|0|4||
"AGEE00900C"|3|33|1|4|8|5
"AGEE00901D"|3|33|1|4||
"AGEE00903G"|3|33|1|4||
"AGEE01000L"|1|52|0|11|8|8
"AGEE01001N"|1|52|0|11||
"AGEE01003Q"|1|52|0|11||
"AGEE01100C"|5|45|1|6|16|5
"AGEE01102E"|5|45|1|6||
"AGEE01104L"|5|45|1|6||
"AGEE01500Q"|5|31|1|8|13|3
"AGEE01504X"|5|31|1|8||
"AGEE015051"|5|31|1|8||
"AGEE015062"|5|31|1|8||
"AGEE01600G"|5|49|0|5|11|9
"AGEE01601L"|5|49|0|5||
"AGEE01604Q"|5|49|0|5||
"AGEE019003"|7|47|1|5|10|9
"AGEE019014"|7|47|1|5||
"AGEE019036"|7|47|1|5||
"AGEE020007"|2|23|1|2|9|0
"AGEE02003A"|2|23|1|2||
"AGEE02029G"|2|23|1|2||
"AGEE021003"|4|36|2|8|10|8
"AGEE021014"|4|36|2|8||
"AGEE021036"|4|36|2|8||
"AGEE02200V"|4|26|0|6|5|6
"AGEE02201X"|4|26|0|6||
"AGEE02400E"|3|52|0|6|18|4
"AGEE02405Q"|3|52|0|6||
"AGEE02406R"|3|52|0|6||
"AGEE02407T"|3|52|0|6||
"AGEE02408V"|3|52|0|6||
"AGEE026006"|4|36|1|3|9|7
"AGEE02604A"|4|36|1|3||
"AGEE02605B"|4|36|1|3||
"AGEE02800T"|4|46|0|4|10|4
"AGEE02801V"|4|46|0|4||
"AGEE028086"|4|46|0|4||
"AGEE02900N"|3|26|0|5|12|3
"AGEE02901P"|3|26|0|5||
"AGEE02905V"|3|26|0|5||
"AGEE03000T"|1|17|0|3|6|3
