codice_utente|scuola|regione|nazionale
"AGEE00100T"|0|2.9|4.3
"AGEE00101V"|0|2.9|4.3
"AGEE001042"|0|2.9|4.3
"AGEE00200N"|0|2.9|4.3
"AGEE00206X"|0|2.9|4.3
"AGEE002082"|0|2.9|4.3
"AGEE002116"|0|2.9|4.3
"AGEE00300D"|2.6|2.9|4.3
"AGEE00302G"|2.6|2.9|4.3
"AGEE004009"|3.7|2.9|4.3
"AGEE00401A"|3.7|2.9|4.3
"AGEE00408N"|3.7|2.9|4.3
"AGEE005005"|2.3|2.9|4.3
"AGEE005016"|2.3|2.9|4.3
"AGEE005049"|2.3|2.9|4.3
"AGEE00509E"|2.3|2.9|4.3
"AGEE00800L"|2.4|2.9|4.3
"AGEE00801N"|2.4|2.9|4.3
"AGEE00803Q"|2.4|2.9|4.3
"AGEE00804R"|2.4|2.9|4.3
"AGEE008081"|2.4|2.9|4.3
"AGEE00900C"|5.6|2.9|4.3
"AGEE00901D"|5.6|2.9|4.3
"AGEE00903G"|5.6|2.9|4.3
"AGEE01000L"|0|2.9|4.3
"AGEE01001N"|0|2.9|4.3
"AGEE01003Q"|0|2.9|4.3
"AGEE01100C"|4.1|2.9|4.3
"AGEE01102E"|4.1|2.9|4.3
"AGEE01104L"|4.1|2.9|4.3
"AGEE01500Q"|2.9|2.9|4.3
"AGEE01504X"|2.9|2.9|4.3
"AGEE015051"|2.9|2.9|4.3
"AGEE015062"|2.9|2.9|4.3
"AGEE01600G"|5.6|2.9|4.3
"AGEE01601L"|5.6|2.9|4.3
"AGEE01604Q"|5.6|2.9|4.3
"AGEE019003"|9.4|2.9|4.3
"AGEE019014"|9.4|2.9|4.3
"AGEE019036"|9.4|2.9|4.3
"AGEE020007"|4.2|2.9|4.3
"AGEE02003A"|4.2|2.9|4.3
"AGEE02029G"|4.2|2.9|4.3
"AGEE021003"|5.1|2.9|4.3
"AGEE021014"|5.1|2.9|4.3
"AGEE021036"|5.1|2.9|4.3
"AGEE02200V"|0|2.9|4.3
"AGEE02201X"|0|2.9|4.3
"AGEE02400E"|1.8|2.9|4.3
"AGEE02405Q"|1.8|2.9|4.3
"AGEE02406R"|1.8|2.9|4.3
"AGEE02407T"|1.8|2.9|4.3
"AGEE02408V"|1.8|2.9|4.3
"AGEE026006"|2.5|2.9|4.3
"AGEE02604A"|2.5|2.9|4.3
"AGEE02605B"|2.5|2.9|4.3
"AGEE02800T"|6|2.9|4.3
"AGEE02801V"|6|2.9|4.3
"AGEE028086"|6|2.9|4.3
"AGEE02900N"|3.4|2.9|4.3
"AGEE02901P"|3.4|2.9|4.3
"AGEE02905V"|3.4|2.9|4.3
"AGEE03000T"|0|2.9|4.3
"AGEE03001V"|0|2.9|4.3
"AGEE03100N"|0|2.9|4.3
"AGEE03101P"|0|2.9|4.3
"AGEE03105V"|0|2.9|4.3
"AGEE034005"|8.6|2.9|4.3
"AGEE034016"|8.6|2.9|4.3
"AGEE03406B"|8.6|2.9|4.3
"AGEE03407C"|8.6|2.9|4.3
"AGEE035001"|3.3|2.9|4.3
"AGEE035012"|3.3|2.9|4.3
"AGEE039008"|0|2.9|4.3
"AGEE039019"|0|2.9|4.3
"AGEE03903B"|0|2.9|4.3
"AGEE041008"|2.3|2.9|4.3
"AGEE041019"|2.3|2.9|4.3
"AGEE04103B"|2.3|2.9|4.3
"AGEE042004"|0|2.9|4.3
"AGEE042015"|0|2.9|4.3
"AGEE042026"|0|2.9|4.3
"AGEE042037"|0|2.9|4.3
"AGEE042048"|0|2.9|4.3
"AGEE04300X"|4.4|2.9|4.3
"AGEE043011"|4.4|2.9|4.3
"AGEE043033"|4.4|2.9|4.3
"AGEE70901G"|0|2.9|4.3
"AGEE805015"|0|2.9|4.3
"AGEE805026"|0|2.9|4.3
"AGEE806011"|0|2.9|4.3
"AGEE806022"|0|2.9|4.3
"AGEE806033"|0|2.9|4.3
"AGEE80702T"|2.9|2.9|4.3
"AGEE80703V"|2.9|2.9|4.3
"AGEE80801L"|0|2.9|4.3
"AGEE80901C"|0|2.9|4.3
"AGEE81001L"|20|2.9|4.3
"AGEE81002N"|20|2.9|4.3
"AGEE812018"|8.3|2.9|4.3
"AGEE812029"|8.3|2.9|4.3
"AGEE813014"|0|2.9|4.3
"AGEE81401X"|5|2.9|4.3
"AGEE81501Q"|12.5|2.9|4.3
"AGEE81701B"|0|2.9|4.3
"AGEE818017"|0|2.9|4.3
"AGEE818028"|0|2.9|4.3
"AGEE819013"|0|2.9|4.3
"AGEE820017"|3.8|2.9|4.3
"AGEE820028"|3.8|2.9|4.3
"AGEE821013"|25|2.9|4.3
"AGEE82201V"|0|2.9|4.3
"AGEE82301P"|0|2.9|4.3
"AGEE82401E"|0|2.9|4.3
"AGEE82402G"|0|2.9|4.3
"AGEE82403L"|0|2.9|4.3
"AGEE826016"|0|2.9|4.3
"AGEE826027"|0|2.9|4.3
"AGEE826038"|0|2.9|4.3
"AGEE827012"|0|2.9|4.3
"AGEE82801T"|7.7|2.9|4.3
"AGEE82901N"|11.1|2.9|4.3
"AGEE83001T"|0|2.9|4.3
"AGEE83101N"|11.1|2.9|4.3
"AGEE83201D"|3.8|2.9|4.3
"AGEE83203G"|3.8|2.9|4.3
"AGEE833019"|5.9|2.9|4.3
"AGEE834015"|8.6|2.9|4.3
"AGEE835011"|0|2.9|4.3
"AGEE83601R"|0|2.9|4.3
"AGEE83701L"|0|2.9|4.3
"AGEE83802D"|0|2.9|4.3
"AGEE83803E"|0|2.9|4.3
"AGEE83804G"|0|2.9|4.3
"AGEE839018"|5.9|2.9|4.3
"AGEE84001C"|0|2.9|4.3
"AGEE841018"|3.4|2.9|4.3
"AGEE842014"|0|2.9|4.3
"AGEE84301X"|0|2.9|4.3
"AGEE84401Q"|0|2.9|4.3
"AGEE84501G"|0|2.9|4.3
"AGEE84601B"|0|2.9|4.3
"AGEE84704A"|0|2.9|4.3
"AGEE84705B"|0|2.9|4.3
