codice_scuola|anno_corso|scuola|regione|nazionale
"AGMM004008"|1|95.7|92.5|94.5
"AGMM004008"|2|95.7|93.9|95.6
"AGMM004008"|3|94.7|93.8|95.8
"AGMM01500P"|1|85.3|92.5|94.5
"AGMM01500P"|2|78|93.9|95.6
"AGMM01500P"|3|92.2|93.8|95.8
"AGMM03800B"|1|93.9|92.5|94.5
"AGMM03800B"|2|92.3|93.9|95.6
"AGMM03800B"|3|95.8|93.8|95.8
"AGMM054009"|1|94.4|92.5|94.5
"AGMM054009"|2|94.9|93.9|95.6
"AGMM054009"|3|93.5|93.8|95.8
"AGMM06700B"|1|85.9|92.5|94.5
"AGMM06700B"|2|90.3|93.9|95.6
"AGMM06700B"|3|97.5|93.8|95.8
"AGMM07200V"|1|97.2|92.5|94.5
"AGMM07200V"|2|99.6|93.9|95.6
"AGMM07200V"|3|90.6|93.8|95.8
"AGMM805014"|1|100|92.5|94.5
"AGMM805014"|2|93.3|93.9|95.6
"AGMM805014"|3|81|93.8|95.8
"AGMM805025"|1||92.5|94.5
"AGMM805025"|2|92.9|93.9|95.6
"AGMM805025"|3|81.8|93.8|95.8
"AGMM80601X"|1|69.4|92.5|94.5
"AGMM80601X"|2|93|93.9|95.6
"AGMM80601X"|3|97.9|93.8|95.8
"AGMM80701Q"|1|79.2|92.5|94.5
"AGMM80701Q"|2|98|93.9|95.6
"AGMM80701Q"|3|100|93.8|95.8
"AGMM80702R"|1|100|92.5|94.5
"AGMM80702R"|2|100|93.9|95.6
"AGMM80702R"|3|100|93.8|95.8
"AGMM80801G"|1|93|92.5|94.5
"AGMM80801G"|2|97.5|93.9|95.6
"AGMM80801G"|3|92.8|93.8|95.8
"AGMM80901B"|1|96.3|92.5|94.5
"AGMM80901B"|2|91.1|93.9|95.6
"AGMM80901B"|3|89.2|93.8|95.8
"AGMM81001G"|1|90.6|92.5|94.5
"AGMM81001G"|2|79|93.9|95.6
"AGMM81001G"|3|79|93.8|95.8
"AGMM81002L"|1|100|92.5|94.5
"AGMM81002L"|2|100|93.9|95.6
"AGMM81002L"|3|100|93.8|95.8
"AGMM812017"|1|84.6|92.5|94.5
"AGMM812017"|2|100|93.9|95.6
"AGMM812017"|3|100|93.8|95.8
"AGMM812028"|1|100|92.5|94.5
"AGMM812028"|2|94.6|93.9|95.6
"AGMM812028"|3|88.5|93.8|95.8
"AGMM813013"|1|90.9|92.5|94.5
"AGMM813013"|2|91.3|93.9|95.6
"AGMM813013"|3|96.4|93.8|95.8
"AGMM81401V"|1|100|92.5|94.5
"AGMM81401V"|2|100|93.9|95.6
"AGMM81401V"|3|96.9|93.8|95.8
"AGMM81501P"|1|83.3|92.5|94.5
"AGMM81501P"|2|92.3|93.9|95.6
"AGMM81501P"|3|90|93.8|95.8
"AGMM81701A"|1|90.7|92.5|94.5
"AGMM81701A"|2|95.1|93.9|95.6
"AGMM81701A"|3|82.4|93.8|95.8
"AGMM818016"|1|100|92.5|94.5
"AGMM818016"|2|95.7|93.9|95.6
"AGMM818016"|3|100|93.8|95.8
"AGMM819012"|1|95.3|92.5|94.5
"AGMM819012"|2|91.8|93.9|95.6
"AGMM819012"|3|91.7|93.8|95.8
"AGMM820016"|1|98.5|92.5|94.5
"AGMM820016"|2|94.6|93.9|95.6
"AGMM820016"|3|100|93.8|95.8
"AGMM821012"|1|100|92.5|94.5
"AGMM821012"|2|100|93.9|95.6
"AGMM821012"|3|100|93.8|95.8
"AGMM82201T"|1|93.8|92.5|94.5
"AGMM82201T"|2|93.8|93.9|95.6
"AGMM82201T"|3|96.5|93.8|95.8
"AGMM82301N"|1|96.4|92.5|94.5
"AGMM82301N"|2|95.4|93.9|95.6
"AGMM82301N"|3|95|93.8|95.8
"AGMM82302P"|1|100|92.5|94.5
"AGMM82302P"|2|100|93.9|95.6
"AGMM82302P"|3|80|93.8|95.8
"AGMM82401D"|1|79.2|92.5|94.5
"AGMM82401D"|2|89.5|93.9|95.6
"AGMM82401D"|3|86.6|93.8|95.8
"AGMM825019"|1|95.7|92.5|94.5
"AGMM825019"|2|95.4|93.9|95.6
"AGMM825019"|3|100|93.8|95.8
"AGMM826015"|1|93.3|92.5|94.5
"AGMM826015"|2|93.3|93.9|95.6
"AGMM826015"|3|100|93.8|95.8
"AGMM826026"|1|100|92.5|94.5
"AGMM826026"|2|100|93.9|95.6
"AGMM826026"|3|96.6|93.8|95.8
"AGMM826037"|1|100|92.5|94.5
"AGMM826037"|2|100|93.9|95.6
"AGMM826037"|3|93.3|93.8|95.8
"AGMM827011"|1|93.9|92.5|94.5
"AGMM827011"|2|94.9|93.9|95.6
"AGMM827011"|3|93.2|93.8|95.8
"AGMM82801R"|1|79|92.5|94.5
"AGMM82801R"|2|85.6|93.9|95.6
"AGMM82801R"|3|91.2|93.8|95.8
"AGMM82901L"|1|86.6|92.5|94.5
"AGMM82901L"|2|76.7|93.9|95.6
"AGMM82901L"|3|88.6|93.8|95.8
"AGMM83001R"|1|96.8|92.5|94.5
"AGMM83001R"|2|96.2|93.9|95.6
"AGMM83001R"|3|100|93.8|95.8
"AGMM83101L"|1|94.8|92.5|94.5
"AGMM83101L"|2|92.9|93.9|95.6
"AGMM83101L"|3|96.8|93.8|95.8
"AGMM83201C"|1|93.7|92.5|94.5
"AGMM83201C"|2|97.3|93.9|95.6
"AGMM83201C"|3|94.9|93.8|95.8
"AGMM833018"|1|90|92.5|94.5
"AGMM833018"|2|88.7|93.9|95.6
"AGMM833018"|3|91.7|93.8|95.8
"AGMM834014"|1|92.5|92.5|94.5
"AGMM834014"|2|93.2|93.9|95.6
"AGMM834014"|3|98.4|93.8|95.8
"AGMM83501X"|1|100|92.5|94.5
"AGMM83501X"|2|97.3|93.9|95.6
"AGMM83501X"|3|100|93.8|95.8
"AGMM83601Q"|1|81.1|92.5|94.5
"AGMM83601Q"|2|95.9|93.9|95.6
"AGMM83601Q"|3|96.1|93.8|95.8
"AGMM83701G"|1|90|92.5|94.5
"AGMM83701G"|2|86|93.9|95.6
"AGMM83701G"|3|94|93.8|95.8
"AGMM83702L"|1|95.2|92.5|94.5
"AGMM83702L"|2|94.7|93.9|95.6
"AGMM83702L"|3|76|93.8|95.8
"AGMM83801B"|1|95.9|92.5|94.5
"AGMM83801B"|2|93.2|93.9|95.6
"AGMM83801B"|3|97.1|93.8|95.8
"AGMM839017"|1|84.5|92.5|94.5
"AGMM839017"|2|92.2|93.9|95.6
"AGMM839017"|3|79.5|93.8|95.8
"AGMM84001B"|1|100|92.5|94.5
"AGMM84001B"|2|97.1|93.9|95.6
"AGMM84001B"|3|86.3|93.8|95.8
"AGMM841017"|1|90|92.5|94.5
"AGMM841017"|2|94.1|93.9|95.6
"AGMM841017"|3|97.4|93.8|95.8
"AGMM842013"|1|87.6|92.5|94.5
"AGMM842013"|2|91.2|93.9|95.6
"AGMM842013"|3|85.9|93.8|95.8
"AGMM842024"|1|100|92.5|94.5
"AGMM842024"|2|100|93.9|95.6
"AGMM842024"|3|100|93.8|95.8
"AGMM84301V"|1|95.6|92.5|94.5
"AGMM84301V"|2|96.6|93.9|95.6
"AGMM84301V"|3|96.5|93.8|95.8
"AGMM84401P"|1|91.7|92.5|94.5
"AGMM84401P"|2|95.4|93.9|95.6
"AGMM84401P"|3|91.8|93.8|95.8
"AGMM84501E"|1|93.2|92.5|94.5
"AGMM84501E"|2|92|93.9|95.6
"AGMM84501E"|3|90.2|93.8|95.8
"AGMM84601A"|1|93.3|92.5|94.5
"AGMM84601A"|2|91.5|93.9|95.6
"AGMM84601A"|3|97.3|93.8|95.8
"AGMM84602B"|1|100|92.5|94.5
"AGMM84602B"|2|100|93.9|95.6
"AGMM84602B"|3|100|93.8|95.8
"AGMM84603C"|1|94.3|92.5|94.5
"AGMM84603C"|2|97.1|93.9|95.6
"AGMM84603C"|3|100|93.8|95.8
"AGMM847016"|1|90.7|92.5|94.5
"AGMM847016"|2|98.5|93.9|95.6
"AGMM847016"|3|96.2|93.8|95.8
"AGMM848012"|1|94.8|92.5|94.5
"AGMM848012"|2|97.9|93.9|95.6
"AGMM848012"|3|97.2|93.8|95.8
"AGMM84901T"|1|71.3|92.5|94.5
"AGMM84901T"|2|79.2|93.9|95.6
"AGMM84901T"|3|78.4|93.8|95.8
"AGMM850012"|1|100|92.5|94.5
"AGMM850012"|2||93.9|95.6
"AGMM850012"|3|72.7|93.8|95.8
"AGMM85101T"|1|88.2|92.5|94.5
"AGMM85101T"|2|98.6|93.9|95.6
"AGMM85101T"|3|97.8|93.8|95.8
"AGMM85201N"|1|81|92.5|94.5
"AGMM85201N"|2|80.7|93.9|95.6
"AGMM85201N"|3|93|93.8|95.8
"AGPC001017"|1|88.8|69.6|67.2
"AGPC001017"|2|84.4|73.6|70.8
"AGPC001017"|3|96.1|71.6|70
"AGPC001017"|4|97|77.3|75.1
"AGPC001017"|5|100|97.7|98
"AGPC008012"|1|87.5|69.6|67.2
"AGPC008012"|2|80.4|73.6|70.8
"AGPC008012"|3|66|71.6|70
"AGPC008012"|4|94|77.3|75.1
"AGPC008012"|5|100|97.7|98
"AGPC010001"|1|85.7|69.6|67.2
"AGPC010001"|2|89.1|73.6|70.8
"AGPC010001"|3|89.2|71.6|70
"AGPC010001"|4|83.8|77.3|75.1
"AGPC010001"|5|99.5|97.7|98
"AGPC02000G"|1|82.4|69.6|67.2
"AGPC02000G"|2|85.6|73.6|70.8
"AGPC02000G"|3|64.1|71.6|70
"AGPC02000G"|4|78|77.3|75.1
"AGPC02000G"|5|100|97.7|98
"AGPC060002"|1|64.8|69.6|67.2
"AGPC060002"|2|73.4|73.6|70.8
"AGPC060002"|3|69.2|71.6|70
"AGPC060002"|4|68.6|77.3|75.1
"AGPC060002"|5|100|97.7|98
"AGPM002017"|1|71.1|69.6|67.2
"AGPM002017"|2|71|73.6|70.8
"AGPM002017"|3|85.4|71.6|70
"AGPM002017"|4|84.2|77.3|75.1
"AGPM002017"|5|100|97.7|98
"AGPM010005"|1|73.7|69.6|67.2
"AGPM010005"|2|73.8|73.6|70.8
"AGPM010005"|3|64.6|71.6|70
"AGPM010005"|4|72|77.3|75.1
"AGPM010005"|5|85.5|97.7|98
"AGPM02000Q"|1|58.9|69.6|67.2
"AGPM02000Q"|2|75|73.6|70.8
"AGPM02000Q"|3|68.6|71.6|70
"AGPM02000Q"|4|78.4|77.3|75.1
"AGPM02000Q"|5|100|97.7|98
"AGPM03000A"|1|70.8|69.6|67.2
"AGPM03000A"|2|81.8|73.6|70.8
"AGPM03000A"|3|76.1|71.6|70
"AGPM03000A"|4|84.9|77.3|75.1
"AGPM03000A"|5|99.4|97.7|98
"AGPM060006"|1|62.1|69.6|67.2
"AGPM060006"|2|66.4|73.6|70.8
"AGPM060006"|3|66.7|71.6|70
"AGPM060006"|4|84.4|77.3|75.1
"AGPM060006"|5|97.1|97.7|98
"AGPS00101A"|1|76.4|69.6|67.2
"AGPS00101A"|2|81.1|73.6|70.8
"AGPS00101A"|3|74.8|71.6|70
"AGPS00101A"|4|74.4|77.3|75.1
"AGPS00101A"|5|100|97.7|98
"AGPS002016"|1|76.9|69.6|67.2
"AGPS002016"|2|79.4|73.6|70.8
"AGPS002016"|3|92.1|71.6|70
"AGPS002016"|4|77.8|77.3|75.1
"AGPS002016"|5|91.7|97.7|98
"AGPS002027"|1|75|69.6|67.2
"AGPS002027"|2|80.4|73.6|70.8
"AGPS002027"|3|87.3|71.6|70
"AGPS002027"|4|88.6|77.3|75.1
"AGPS002027"|5|100|97.7|98
"AGPS008015"|1|97.5|69.6|67.2
"AGPS008015"|2|90.6|73.6|70.8
"AGPS008015"|3|92.1|71.6|70
"AGPS008015"|4|69.7|77.3|75.1
"AGPS008015"|5|91.7|97.7|98
"AGPS02000P"|1|79.6|69.6|67.2
"AGPS02000P"|2|82.5|73.6|70.8
"AGPS02000P"|3|69.1|71.6|70
"AGPS02000P"|4|74.3|77.3|75.1
"AGPS02000P"|5|98.6|97.7|98
"AGPS030009"|1|80.8|69.6|67.2
