codscu|anno_corso|perc_scuola|perc_regione|perc_nazione
"AGPC001017"|1|"96.3"|"90.4"|"89.7"
"AGPC001017"|4|"100"|"95.1"|"95.5"
"AGPC001017"|2|"98.7"|"94.2"|"93.9"
"AGPC001017"|5|"100"|"97.7"|"98"
"AGPC001017"|3|"98.7"|"92.6"|"92.9"
"AGPC008012"|5|"100"|"97.7"|"98"
"AGPC008012"|1|"100"|"90.4"|"89.7"
"AGPC008012"|3|"91.3"|"92.6"|"92.9"
"AGPC008012"|2|"94.1"|"94.2"|"93.9"
"AGPC008012"|4|"97"|"95.1"|"95.5"
"AGPC010001"|5|"99.5"|"97.7"|"98"
"AGPC010001"|4|"98.2"|"95.1"|"95.5"
"AGPC010001"|3|"97"|"92.6"|"92.9"
"AGPC010001"|1|"99.1"|"90.4"|"89.7"
"AGPC010001"|2|"99.5"|"94.2"|"93.9"
"AGPC02000G"|3|"96.6"|"92.6"|"92.9"
"AGPC02000G"|1|"92.9"|"90.4"|"89.7"
"AGPC02000G"|2|"94.8"|"94.2"|"93.9"
"AGPC02000G"|5|"100"|"97.7"|"98"
"AGPC02000G"|4|"94.1"|"95.1"|"95.5"
"AGPC060002"|3|"90.9"|"92.6"|"92.9"
"AGPC060002"|5|"100"|"97.7"|"98"
"AGPC060002"|1|"87.4"|"90.4"|"89.7"
"AGPC060002"|4|"86.9"|"95.1"|"95.5"
"AGPC060002"|2|"89"|"94.2"|"93.9"
"AGPM002017"|1|"94.7"|"90.4"|"89.7"
"AGPM002017"|4|"89.5"|"95.1"|"95.5"
"AGPM002017"|5|"100"|"97.7"|"98"
"AGPM002017"|3|"93.8"|"92.6"|"92.9"
"AGPM002017"|2|"96.8"|"94.2"|"93.9"
"AGPM010005"|5|"85.5"|"97.7"|"98"
"AGPM010005"|1|"94.9"|"90.4"|"89.7"
"AGPM010005"|2|"94.4"|"94.2"|"93.9"
"AGPM010005"|3|"88.2"|"92.6"|"92.9"
"AGPM010005"|4|"94.4"|"95.1"|"95.5"
"AGPM02000Q"|3|"95.7"|"92.6"|"92.9"
"AGPM02000Q"|5|"100"|"97.7"|"98"
"AGPM02000Q"|2|"89.8"|"94.2"|"93.9"
"AGPM02000Q"|4|"94.2"|"95.1"|"95.5"
"AGPM02000Q"|1|"86.5"|"90.4"|"89.7"
"AGPM03000A"|2|"99.2"|"94.2"|"93.9"
"AGPM03000A"|3|"95.2"|"92.6"|"92.9"
"AGPM03000A"|1|"89"|"90.4"|"89.7"
"AGPM03000A"|4|"96.8"|"95.1"|"95.5"
"AGPM03000A"|5|"99.4"|"97.7"|"98"
"AGPM060006"|1|"92.2"|"90.4"|"89.7"
"AGPM060006"|5|"97.1"|"97.7"|"98"
"AGPM060006"|4|"97.9"|"95.1"|"95.5"
"AGPM060006"|2|"100"|"94.2"|"93.9"
"AGPM060006"|3|"97.9"|"92.6"|"92.9"
"AGPS00101A"|4|"95"|"95.1"|"95.5"
"AGPS00101A"|1|"95.8"|"90.4"|"89.7"
"AGPS00101A"|5|"100"|"97.7"|"98"
"AGPS00101A"|2|"97.7"|"94.2"|"93.9"
"AGPS00101A"|3|"95.9"|"92.6"|"92.9"
"AGPS002016"|3|"97.4"|"92.6"|"92.9"
"AGPS002016"|1|"100"|"90.4"|"89.7"
"AGPS002016"|4|"97.8"|"95.1"|"95.5"
"AGPS002016"|5|"91.7"|"97.7"|"98"
"AGPS002016"|2|"100"|"94.2"|"93.9"
"AGPS002027"|3|"96.4"|"92.6"|"92.9"
"AGPS002027"|1|"92.9"|"90.4"|"89.7"
"AGPS002027"|4|"100"|"95.1"|"95.5"
"AGPS002027"|2|"100"|"94.2"|"93.9"
"AGPS002027"|5|"100"|"97.7"|"98"
"AGPS008015"|4|"97"|"95.1"|"95.5"
"AGPS008015"|2|"96.9"|"94.2"|"93.9"
"AGPS008015"|5|"91.7"|"97.7"|"98"
"AGPS008015"|1|"97.5"|"90.4"|"89.7"
"AGPS008015"|3|"94.7"|"92.6"|"92.9"
"AGPS02000P"|2|"97"|"94.2"|"93.9"
"AGPS02000P"|3|"87.4"|"92.6"|"92.9"
"AGPS02000P"|5|"98.6"|"97.7"|"98"
"AGPS02000P"|1|"97.3"|"90.4"|"89.7"
"AGPS02000P"|4|"94.1"|"95.1"|"95.5"
"AGPS030009"|1|"96.5"|"90.4"|"89.7"
"AGPS030009"|5|"99.5"|"97.7"|"98"
"AGPS030009"|3|"96.1"|"92.6"|"92.9"
"AGPS030009"|2|"97.7"|"94.2"|"93.9"
"AGPS030009"|4|"97.7"|"95.1"|"95.5"
"AGPS05000E"|3|"82.9"|"92.6"|"92.9"
"AGPS05000E"|5|"98.3"|"97.7"|"98"
"AGPS05000E"|4|"92.6"|"95.1"|"95.5"
"AGPS05000E"|1|"60.1"|"90.4"|"89.7"
"AGPS05000E"|2|"84.9"|"94.2"|"93.9"
"AGPS060005"|2|"94.8"|"94.2"|"93.9"
"AGPS060005"|3|"93.3"|"92.6"|"92.9"
"AGPS060005"|1|"92.3"|"90.4"|"89.7"
"AGPS060005"|4|"94.7"|"95.1"|"95.5"
"AGPS060005"|5|"100"|"97.7"|"98"
"AGPS08000A"|4|"83.3"|"95.1"|"95.5"
"AGPS08000A"|1|"67.5"|"90.4"|"89.7"
"AGPS08000A"|5|"70.6"|"97.7"|"98"
"AGPS08000A"|3|"89.3"|"92.6"|"92.9"
"AGPS08000A"|2|"73.2"|"94.2"|"93.9"
"AGRA00301G"|2|"75"|"75.9"|"81"
"AGRA00301G"|5|"100"|"87"|"89.1"
"AGRA00301G"|3|""|""|""
"AGRA00301G"|4|"50"|"79.1"|"82.6"
"AGRA00301G"|1|"42.3"|"67.5"|"70.1"
"AGRC01000L"|3|""|""|""
"AGRC01000L"|4|"93.5"|"79.1"|"82.6"
"AGRC01000L"|5|"85"|"87"|"89.1"
"AGRC01000L"|2|"63.9"|"75.9"|"81"
"AGRC01000L"|1|"80"|"67.5"|"70.1"
"AGRC01001N"|2|"75"|"75.9"|"81"
"AGRC01001N"|5|"100"|"87"|"89.1"
"AGRC01001N"|4|"75"|"79.1"|"82.6"
"AGRC01001N"|3|""|""|""
"AGRC01001N"|1|"92.9"|"67.5"|"70.1"
"AGRC01005T"|4|"93.8"|"79.1"|"82.6"
"AGRC01005T"|1|"92.3"|"67.5"|"70.1"
"AGRC01005T"|5|"84.6"|"87"|"89.1"
"AGRC01005T"|2|"87"|"75.9"|"81"
"AGRC01005T"|3|""|""|""
"AGRC01601L"|5|""|""|""
"AGRC01601L"|1|"65.7"|"67.5"|"70.1"
"AGRC01601L"|2|"81.1"|"75.9"|"81"
"AGRC01601L"|4|"88.6"|"79.1"|"82.6"
"AGRC01601L"|3|""|""|""
"AGRC01602N"|5|"69.6"|"87"|"89.1"
"AGRC01602N"|1|"88.1"|"67.5"|"70.1"
"AGRC01602N"|2|"72.7"|"75.9"|"81"
"AGRC01602N"|3|""|""|""
"AGRC01602N"|4|"89.7"|"79.1"|"82.6"
"AGRH01201E"|5|"96"|"87"|"89.1"
"AGRH01201E"|1|"59.9"|"67.5"|"70.1"
"AGRH01201E"|2|"72.9"|"75.9"|"81"
"AGRH01201E"|4|"78"|"79.1"|"82.6"
"AGRH01201E"|3|""|""|""
"AGRH01301A"|3|""|""|""
"AGRH01301A"|2|"73.6"|"75.9"|"81"
"AGRH01301A"|5|"92.3"|"87"|"89.1"
"AGRH01301A"|4|"84.1"|"79.1"|"82.6"
"AGRH01301A"|1|"63.5"|"67.5"|"70.1"
"AGRH02000C"|4|"84.1"|"79.1"|"82.6"
"AGRH02000C"|3|""|""|""
"AGRH02000C"|2|"84.1"|"75.9"|"81"
"AGRH02000C"|1|"72.7"|"67.5"|"70.1"
"AGRH02000C"|5|"81.5"|"87"|"89.1"
"AGRH02001D"|5|"60"|"87"|"89.1"
"AGRI00601P"|5|"88.9"|"87"|"89.1"
"AGRI00601P"|2|"83.3"|"75.9"|"81"
"AGRI00601P"|4|"57.1"|"79.1"|"82.6"
"AGRI00601P"|3|""|""|""
"AGRI00601P"|1|"100"|"67.5"|"70.1"
"AGRI010009"|2|"71.6"|"75.9"|"81"
"AGRI010009"|5|"95.5"|"87"|"89.1"
"AGRI010009"|1|"73.1"|"67.5"|"70.1"
"AGRI010009"|3|""|""|""
"AGRI010009"|4|"80"|"79.1"|"82.6"
"AGRI011016"|5|"74.4"|"87"|"89.1"
"AGRI011016"|3|""|""|""
"AGRI011016"|2|"72.6"|"75.9"|"81"
"AGRI011016"|1|"74.4"|"67.5"|"70.1"
"AGRI011016"|4|"89.1"|"79.1"|"82.6"
"AGRI02000X"|1|"82.7"|"67.5"|"70.1"
"AGRI02000X"|4|"96.9"|"79.1"|"82.6"
"AGRI02000X"|3|""|""|""
"AGRI02000X"|2|"78.4"|"75.9"|"81"
"AGRI02000X"|5|"94.6"|"87"|"89.1"
"AGRI020011"|2|"92.9"|"75.9"|"81"
"AGRI020011"|1|"92.3"|"67.5"|"70.1"
"AGRI020011"|4|"100"|"79.1"|"82.6"
"AGRI020011"|3|""|""|""
"AGRI020011"|5|""|""|""
"AGRI040005"|2|"88.3"|"75.9"|"81"
"AGRI040005"|1|"75.5"|"67.5"|"70.1"
"AGRI040005"|5|"100"|"87"|"89.1"
"AGRI040005"|4|"69.5"|"79.1"|"82.6"
"AGRI040005"|3|""|""|""
"AGRI040016"|3|""|""|""
"AGRI040016"|4|"75.9"|"79.1"|"82.6"
"AGRI040016"|5|"91.3"|"87"|"89.1"
"AGRI040016"|2|"69.6"|"75.9"|"81"
"AGRI040016"|1|"70.6"|"67.5"|"70.1"
"AGRI040027"|5|"90.9"|"87"|"89.1"
"AGRI040027"|2|"64.7"|"75.9"|"81"
"AGRI040027"|4|"70.5"|"79.1"|"82.6"
"AGRI040027"|3|""|""|""
"AGRI040027"|1|"55.9"|"67.5"|"70.1"
"AGRI090006"|3|""|""|""
"AGRI090006"|4|"64.2"|"79.1"|"82.6"
"AGRI090006"|1|"51.9"|"67.5"|"70.1"
"AGRI090006"|2|"53.3"|"75.9"|"81"
"AGRI090006"|5|"80.4"|"87"|"89.1"
