codice_scuola|classi|descrizione_indirizzo
"AGEE00101V"|2|"da 28 a 30 ore settimanali"
"AGEE001042"|2|"da 28 a 30 ore settimanali"
"AGEE00206X"|2|"27 ore settimanali"
"AGEE002082"|1|"27 ore settimanali"
"AGEE002116"|2|"27 ore settimanali"
"AGEE00302G"|4|"da 28 a 30 ore settimanali"
"AGEE00401A"|1|"tempo pieno per 40 ore settimanali"
"AGEE00408N"|2|"27 ore settimanali"
"AGEE00801N"|1|"27 ore settimanali"
"AGEE00803Q"|1|"27 ore settimanali"
"AGEE00804R"|2|"27 ore settimanali"
"AGEE008081"|1|"27 ore settimanali"
"AGEE00901D"|3|"27 ore settimanali"
"AGEE00903G"|1|"27 ore settimanali"
"AGEE01001N"|4|"27 ore settimanali"
"AGEE01003Q"|2|"27 ore settimanali"
"AGEE01102E"|3|"27 ore settimanali"
"AGEE01104L"|3|"27 ore settimanali"
"AGEE01504X"|1|"27 ore settimanali"
"AGEE015051"|1|"27 ore settimanali"
"AGEE015062"|1|"27 ore settimanali"
"AGEE01601L"|3|"27 ore settimanali"
"AGEE01604Q"|5|"27 ore settimanali"
"AGEE019014"|3|"27 ore settimanali"
"AGEE019036"|3|"27 ore settimanali"
"AGEE02003A"|1|"27 ore settimanali"
"AGEE02029G"|1|"27 ore settimanali"
"AGEE021014"|2|"da 28 a 30 ore settimanali"
"AGEE021036"|2|"da 28 a 30 ore settimanali"
"AGEE02201X"|3|"27 ore settimanali"
"AGEE02406R"|2|"da 28 a 30 ore settimanali"
"AGEE02407T"|3|"da 28 a 30 ore settimanali"
"AGEE02408V"|2|"da 28 a 30 ore settimanali"
"AGEE02604A"|3|"27 ore settimanali"
"AGEE02605B"|1|"27 ore settimanali"
"AGEE02605B"|1|"da 28 a 30 ore settimanali"
"AGEE02801V"|1|"27 ore settimanali"
"AGEE02801V"|2|"tempo pieno per 40 ore settimanali"
"AGEE028086"|1|"27 ore settimanali"
"AGEE028086"|1|"tempo pieno per 40 ore settimanali"
"AGEE02901P"|3|"27 ore settimanali"
"AGEE03001V"|2|"27 ore settimanali"
"AGEE03101P"|4|"27 ore settimanali"
"AGEE03105V"|1|"27 ore settimanali"
"AGEE034016"|1|"da 28 a 30 ore settimanali"
"AGEE03406B"|4|"da 28 a 30 ore settimanali"
"AGEE03407C"|2|"da 28 a 30 ore settimanali"
"AGEE035012"|4|"27 ore settimanali"
"AGEE039019"|3|"da 28 a 30 ore settimanali"
"AGEE03903B"|1|"27 ore settimanali"
"AGEE041019"|2|"da 28 a 30 ore settimanali"
"AGEE04103B"|4|"da 28 a 30 ore settimanali"
"AGEE042015"|3|"27 ore settimanali"
"AGEE042037"|1|"27 ore settimanali"
"AGEE042048"|1|"27 ore settimanali"
"AGEE042048"|1|"tempo pieno per 40 ore settimanali"
"AGEE043011"|2|"27 ore settimanali"
"AGEE043011"|1|"tempo pieno per 40 ore settimanali"
"AGEE043033"|1|"27 ore settimanali"
"AGEE805015"|1|"da 28 a 30 ore settimanali"
"AGEE805026"|2|"da 28 a 30 ore settimanali"
"AGEE806011"|1|"27 ore settimanali"
"AGEE806022"|1|"27 ore settimanali"
"AGEE806033"|1|"27 ore settimanali"
"AGEE80702T"|2|"27 ore settimanali"
"AGEE80703V"|1|"27 ore settimanali"
"AGEE80703V"|1|"tempo pieno per 40 ore settimanali"
"AGEE80801L"|4|"da 28 a 30 ore settimanali"
"AGEE80901C"|2|"27 ore settimanali"
"AGEE81001L"|4|"27 ore settimanali"
"AGEE81002N"|1|"27 ore settimanali"
"AGEE812018"|2|"da 28 a 30 ore settimanali"
"AGEE812029"|1|"da 28 a 30 ore settimanali"
"AGEE813014"|2|"da 28 a 30 ore settimanali"
"AGEE81401X"|2|"tempo pieno per 40 ore settimanali"
"AGEE81501Q"|2|"27 ore settimanali"
"AGEE81701B"|3|"da 28 a 30 ore settimanali"
"AGEE818017"|1|"27 ore settimanali"
"AGEE818028"|1|"27 ore settimanali"
"AGEE819013"|3|"27 ore settimanali"
"AGEE820017"|1|"27 ore settimanali"
"AGEE820028"|1|"27 ore settimanali"
"AGEE821013"|2|"27 ore settimanali"
"AGEE82201V"|1|"27 ore settimanali"
"AGEE82301P"|2|"27 ore settimanali"
"AGEE82401E"|1|"27 ore settimanali"
"AGEE82403L"|1|"27 ore settimanali"
"AGEE82501A"|1|"da 28 a 30 ore settimanali"
"AGEE826016"|2|"27 ore settimanali"
"AGEE826027"|1|"27 ore settimanali"
"AGEE826038"|1|"27 ore settimanali"
"AGEE827012"|1|"27 ore settimanali"
"AGEE82801T"|1|"27 ore settimanali"
"AGEE82901N"|1|"27 ore settimanali"
"AGEE83001T"|3|"27 ore settimanali"
"AGEE83101N"|1|"24 ore settimanali"
"AGEE83201D"|1|"27 ore settimanali"
