codscu|immatricolato|nonimmatricolato
"AGPC001017"|"84.1"|"15.9"
"AGPC008012"|"92"|"8"
"AGPC010001"|"86.2"|"13.8"
"AGPC02000G"|"73"|"27"
"AGPC060002"|"75.6"|"24.4"
"AGPM002017"|"51.6"|"48.4"
"AGPM010005"|"71.4"|"28.6"
"AGPM02000Q"|"68.5"|"31.5"
"AGPM03000A"|"64.6"|"35.4"
"AGPM060006"|"59"|"41"
"AGPS00101A"|"81.6"|"18.4"
"AGPS002016"|"77.8"|"22.2"
"AGPS002027"|"58.3"|"41.7"
"AGPS008015"|"77.3"|"22.7"
"AGPS02000P"|"74.3"|"25.7"
"AGPS030009"|"88.1"|"11.9"
"AGPS05000E"|"64.1"|"35.9"
"AGPS060005"|"75.4"|"24.6"
"AGPS08000A"|"25"|"75"
"AGRA00301G"|"14.3"|"85.7"
"AGRC01000L"|"16.9"|"83.1"
"AGRC01001N"|"0"|"100"
"AGRC01005T"|"1.9"|"98.1"
"AGRC01602N"|"10.3"|"89.7"
"AGRH01201E"|"6.4"|"93.6"
"AGRH01301A"|"5"|"95"
"AGRH02000C"|"6.9"|"93.1"
"AGRH02001D"|"0"|"100"
"AGRI00601P"|"12.5"|"87.5"
"AGRI010009"|"14.2"|"85.8"
"AGRI011016"|"24.1"|"75.9"
"AGRI02000X"|"5.6"|"94.4"
"AGRI040005"|"2.1"|"97.9"
"AGRI040016"|"0"|"100"
"AGRI040027"|"4.5"|"95.5"
"AGRI090006"|"5"|"95"
"AGRI090017"|"0"|"100"
"AGSD01000E"|"12.1"|"87.9"
"AGTA012016"|"25"|"75"
"AGTD00301T"|"21.4"|"78.6"
"AGTD00302V"|"61.1"|"38.9"
"AGTD006019"|"39"|"61"
"AGTD01301C"|"16.7"|"83.3"
"AGTD014018"|"22.9"|"77.1"
"AGTD01601X"|"19.7"|"80.3"
"AGTD02000E"|"27"|"73"
"AGTD030005"|"44.7"|"55.3"
"AGTD09000R"|"30.7"|"69.3"
"AGTD09001T"|"0"|"100"
"AGTL011017"|"22.6"|"77.4"
"AGTL01401P"|"32.7"|"67.3"
"ALPC00901C"|"70.1"|"29.9"
"ALPC01601G"|"91.8"|"8.2"
"ALPM01601Q"|"63.9"|"36.1"
"ALPS001011"|"89.7"|"10.3"
"ALPS00401C"|"82.8"|"17.2"
"ALPS00701X"|"83.6"|"16.4"
"ALPS00901G"|"93.9"|"6.1"
"ALPS01000P"|"93.2"|"6.8"
"ALPS020009"|"87.4"|"12.6"
"ALPS050005"|"93"|"7"
"ALRC003015"|"21.1"|"78.9"
"ALRC00601L"|"14.8"|"85.2"
"ALRC008018"|"19.4"|"80.6"
"ALRC01301Q"|"13.5"|"86.5"
"ALRC017013"|"25"|"75"
"ALRI00301T"|"0"|"100"
"ALRI01000X"|"10"|"90"
"ALSD00101B"|"22.7"|"77.3"
"ALSD00401V"|"0"|"100"
"ALSL004019"|"13.9"|"86.1"
"ALTA01401C"|"29.6"|"70.4"
"ALTD00301C"|"51.4"|"48.6"
"ALTD004018"|"42.9"|"57.1"
"ALTD00601X"|"49"|"51"
"ALTD00701Q"|"45"|"55"
"ALTD013013"|"42.1"|"57.9"
"ALTD01701A"|"31.6"|"68.4"
"ALTF00301P"|"58"|"42"
"ALTF007012"|"52.4"|"47.6"
"ALTF00801T"|"58.1"|"41.9"
"ALTF01000R"|"57.3"|"42.7"
"ALTF014015"|"51.7"|"48.3"
"ALTF01701L"|"43.6"|"56.4"
"ALTL010001"|"44.4"|"55.6"
"ALTN00301A"|"36.4"|"63.6"
"ANPC010006"|"78.9"|"21.1"
"ANPC03000B"|"69.7"|"30.3"
"ANPC040002"|"75"|"25"
"ANPC060007"|"74.4"|"25.6"
"ANPS00201B"|"90.4"|"9.6"
"ANPS009016"|"85.1"|"14.9"
"ANPS010009"|"87.4"|"12.6"
"ANPS012012"|"88.2"|"11.8"
"ANPS03000E"|"87.4"|"12.6"
"ANPS040005"|"89"|"11"
"ANPS05000Q"|"96.5"|"3.5"
"ANPS05001R"|"95.2"|"4.8"
"ANRA001026"|"0"|"100"
"ANRC01301A"|"20.5"|"79.5"
"ANRC01302B"|"17"|"83"
"ANRH008014"|"11.5"|"88.5"
"ANRH01901E"|"8.6"|"91.4"
"ANRI00101R"|"2.9"|"97.1"
"ANRI01101B"|"0"|"100"
"ANRI013013"|"6.7"|"93.3"
"ANRI01601E"|"28.6"|"71.4"
"ANRI01602G"|"13.5"|"86.5"
"ANRI018016"|"3.8"|"96.2"
"ANSD01000Q"|"19"|"81"
"ANSD01001R"|"5.6"|"94.4"
"ANSD01002T"|"10.7"|"89.3"
"ANTA01701E"|"43.3"|"56.7"
"ANTD002017"|"43.5"|"56.5"
"ANTD00401V"|"41.2"|"58.8"
"ANTD008016"|"33.3"|"66.7"
"ANTD009012"|"45"|"55"
"ANTD01201T"|"51.1"|"48.9"
"ANTD017011"|"38.7"|"61.3"
"ANTD02000Q"|"42.6"|"57.4"
"ANTD05000G"|"59.3"|"40.7"
"ANTE00401A"|"48.1"|"51.9"
"ANTE01000L"|"69.9"|"30.1"
"ANTF011018"|"51.2"|"48.8"
"ANTF01401Q"|"46.2"|"53.8"
"ANTF018013"|"35.5"|"64.5"
"ANTF03000L"|"37.2"|"62.8"
"ANTH014017"|"17.5"|"82.5"
"APPC00302Q"|"94.6"|"5.4"
"APPC00401E"|"100"|"0"
"APPC01000R"|"87.7"|"12.3"
"APPC02000B"|"85.5"|"14.5"
"APPM007016"|"80.4"|"19.6"
"APPS002012"|"92.2"|"7.8"
"APPS002023"|"86.5"|"13.5"
"APPS01000X"|"97.6"|"2.4"
"APPS02000E"|"91.2"|"8.8"
"APPS030005"|"88.7"|"11.3"
"APRC00201E"|"16.3"|"83.7"
"APRC00301A"|"17.4"|"82.6"
"APRC004016"|"27.3"|"72.7"
"APRC00601T"|"15.8"|"84.2"
"APRH00201Q"|"0"|"100"
"APRH01000N"|"16.9"|"83.1"
"APRI00401V"|"0"|"100"
"APRI00601E"|"13.9"|"86.1"
"APRI02000Q"|"3.8"|"96.2"
"APRI03000A"|"21.4"|"78.6"
"APSD00101L"|"26.2"|"73.8"
"APSD01000A"|"27.7"|"72.3"
"APSL001013"|"3.2"|"96.8"
"APTA00801A"|"47.6"|"52.4"
"APTD00201T"|"57.7"|"42.3"
"APTD00202V"|"40"|"60"
"APTD00203X"|"64.7"|"35.3"
"APTD00401D"|"33.3"|"66.7"
"APTD030001"|"59.2"|"40.8"
"APTD04000G"|"62.5"|"37.5"
"APTD07000B"|"55.5"|"44.5"
"APTE010007"|"66.7"|"33.3"
"APTF010002"|"42.2"|"57.8"
"APTF02000L"|"43.6"|"56.4"
"APTL00701B"|"44.1"|"55.9"
"AQPC00101N"|"87.2"|"12.8"
"AQPC00801C"|"86.3"|"13.8"
"AQPC012014"|"85.1"|"14.9"
"AQPM00101T"|"69"|"31"
"AQPM01000G"|"61.1"|"38.9"
"AQPM03000R"|"64.1"|"35.9"
"AQPS00201L"|"88.2"|"11.8"
"AQPS01000E"|"81.7"|"18.3"
"AQPS03000Q"|"90.2"|"9.8"
"AQPS04000A"|"89.8"|"10.2"
"AQPS050001"|"68.9"|"31.1"
"AQRA003012"|"11.1"|"88.9"
"AQRA010004"|"6.7"|"93.3"
"AQRA010015"|"5.9"|"94.1"
"AQRA010026"|"11.1"|"88.9"
"AQRC003011"|"0"|"100"
"AQRH010008"|"9.3"|"90.7"
"AQRI00201T"|"10"|"90"
"AQRI007011"|"9.3"|"90.7"
"AQSD007016"|"43.8"|"56.3"
"AQSD008012"|"18.2"|"81.8"
"AQSD01201N"|"24.4"|"75.6"
"AQTD00201C"|"36.8"|"63.2"
"AQTD00601Q"|"48.9"|"51.1"
"AQTD011017"|"54.2"|"45.8"
"AQTD01301V"|"55.1"|"44.9"
"AQTD070002"|"37.5"|"62.5"
"AQTD08000L"|"27.6"|"72.4"
"AQTE01101P"|"69.2"|"30.8"
"AQTF006012"|"35.9"|"64.1"
"AQTF014011"|"57.6"|"42.4"
"AQTF01601L"|"54.7"|"45.3"
"AQTL00301P"|"34.1"|"65.9"
"AQTL006016"|"14.3"|"85.7"
"AQTL013019"|"32.5"|"67.5"
"ARPC001018"|"88.1"|"11.9"
"ARPC010002"|"84.5"|"15.5"
"ARPM010006"|"65.8"|"34.2"
"ARPM03000B"|"74.4"|"25.6"
"ARPS002017"|"95.2"|"4.8"
"ARPS00401V"|"83.2"|"16.8"
"ARPS01901L"|"86.2"|"13.8"
"ARPS02000Q"|"93.7"|"6.3"
"ARPS07000R"|"94.4"|"5.6"
"ARRA01802B"|"14.3"|"85.7"
