codice_scuola|scuola|regione|nazionale
"AGMM004008"|98.9|99.6|99.7
"AGMM03800B"|100|99.6|99.7
"AGMM054009"|100|99.6|99.7
"AGMM06700B"|100|99.6|99.7
"AGMM07200V"|100|99.6|99.7
"AGMM80601X"|100|99.6|99.7
"AGMM80701Q"|100|99.6|99.7
"AGMM80702R"|100|99.6|99.7
"AGMM80801G"|100|99.6|99.7
"AGMM80901B"|100|99.6|99.7
"AGMM81001G"|100|99.6|99.7
"AGMM81002L"|100|99.6|99.7
"AGMM812017"|100|99.6|99.7
"AGMM812028"|100|99.6|99.7
"AGMM813013"|100|99.6|99.7
"AGMM81401V"|100|99.6|99.7
"AGMM81701A"|100|99.6|99.7
"AGMM818016"|98.9|99.6|99.7
"AGMM819012"|100|99.6|99.7
"AGMM820016"|100|99.6|99.7
"AGMM821012"|100|99.6|99.7
"AGMM82201T"|100|99.6|99.7
"AGMM82301N"|100|99.6|99.7
"AGMM82302P"|100|99.6|99.7
"AGMM82401D"|100|99.6|99.7
"AGMM826015"|100|99.6|99.7
"AGMM826026"|100|99.6|99.7
"AGMM826037"|100|99.6|99.7
"AGMM827011"|95.7|99.6|99.7
"AGMM82801R"|100|99.6|99.7
"AGMM82901L"|100|99.6|99.7
"AGMM83001R"|100|99.6|99.7
"AGMM83101L"|100|99.6|99.7
"AGMM83201C"|100|99.6|99.7
"AGMM833018"|99.2|99.6|99.7
"AGMM834014"|100|99.6|99.7
"AGMM83601Q"|100|99.6|99.7
"AGMM83701G"|100|99.6|99.7
"AGMM83702L"|100|99.6|99.7
"AGMM83801B"|100|99.6|99.7
"AGMM839017"|100|99.6|99.7
"AGMM84001B"|100|99.6|99.7
"AGMM841017"|100|99.6|99.7
"AGMM842013"|100|99.6|99.7
"AGMM842024"|100|99.6|99.7
"AGMM84301V"|100|99.6|99.7
"AGMM84401P"|98.9|99.6|99.7
"AGMM84601A"|98.1|99.6|99.7
"AGMM84602B"|100|99.6|99.7
"AGMM84603C"|100|99.6|99.7
"AGMM847016"|100|99.6|99.7
"AGMM848012"|100|99.6|99.7
"AGMM84901T"|100|99.6|99.7
"AGMM850012"|87.5|99.6|99.7
"AGMM85101T"|100|99.6|99.7
"AGMM85201N"|100|99.6|99.7
"AGPC001017"|100|96.1|97.2
"AGPC008012"|100|96.1|97.2
"AGPC010001"|100|96.1|97.2
"AGPC02000G"|100|96.1|97.2
"AGPC060002"|100|96.1|97.2
"AGPM002017"|96.9|96.1|97.2
"AGPM010005"|99.1|96.1|97.2
"AGPM02000Q"|100|96.1|97.2
"AGPM03000A"|100|96.1|97.2
"AGPM060006"|100|96.1|97.2
"AGPS00101A"|100|96.1|97.2
"AGPS002016"|98.2|96.1|97.2
"AGPS002027"|98|96.1|97.2
"AGPS008015"|100|96.1|97.2
"AGPS02000P"|100|96.1|97.2
"AGPS030009"|98|96.1|97.2
"AGPS05000E"|100|96.1|97.2
"AGPS060005"|94.3|96.1|97.2
"AGPS08000A"|100|96.1|97.2
"AGRA00301G"|100|96.1|97.2
"AGRC01000L"|96.7|96.1|97.2
"AGRC01001N"|77.8|96.1|97.2
"AGRC01005T"|96.4|96.1|97.2
"AGRC01602N"|100|96.1|97.2
"AGRH01201E"|98.9|96.1|97.2
"AGRH01301A"|100|96.1|97.2
"AGRH02000C"|99|96.1|97.2
"AGRH02001D"|100|96.1|97.2
"AGRI00601P"|100|96.1|97.2
"AGRI010009"|100|96.1|97.2
"AGRI011016"|100|96.1|97.2
"AGRI02000X"|100|96.1|97.2
"AGRI020011"|0|96.1|97.2
"AGRI040005"|93.9|96.1|97.2
"AGRI040016"|90.5|96.1|97.2
"AGRI040027"|100|96.1|97.2
"AGRI090006"|100|96.1|97.2
"AGRI090017"|100|96.1|97.2
"AGSD01000E"|100|96.1|97.2
"AGTA012016"|100|96.1|97.2
"AGTD00301T"|100|96.1|97.2
"AGTD00302V"|100|96.1|97.2
"AGTD006019"|97.6|96.1|97.2
"AGTD01301C"|100|96.1|97.2
"AGTD01351T"|89.3|96.1|97.2
"AGTD014018"|100|96.1|97.2
"AGTD01601X"|100|96.1|97.2
"AGTD016519"|0|96.1|97.2
"AGTD02000E"|98|96.1|97.2
"AGTD030005"|100|96.1|97.2
"AGTD03050E"|57.1|96.1|97.2
"AGTD09000R"|100|96.1|97.2
"AGTD09001T"|100|96.1|97.2
"AGTL011017"|100|96.1|97.2
"AGTL01401P"|100|96.1|97.2
"ALMM081008"|100|99.6|99.7
"ALMM082004"|100|99.6|99.7
"ALMM08300X"|100|99.6|99.7
"ALMM083011"|100|99.6|99.7
"ALMM08400Q"|99.5|99.6|99.7
"ALMM08401R"|100|99.6|99.7
"ALMM08600B"|99.6|99.6|99.7
"ALMM08601C"|100|99.6|99.7
"ALMM08602D"|86.7|99.6|99.7
"ALMM087007"|100|99.6|99.7
"ALMM08900V"|100|99.6|99.7
"ALMM80601E"|100|99.6|99.7
"ALMM80602G"|100|99.6|99.7
"ALMM80701A"|98.4|99.6|99.7
"ALMM80702B"|100|99.6|99.7
"ALMM808016"|100|99.6|99.7
"ALMM808027"|95|99.6|99.7
"ALMM809012"|97.6|99.6|99.7
"ALMM809023"|100|99.6|99.7
"ALMM810016"|100|99.6|99.7
"ALMM810027"|100|99.6|99.7
"ALMM811012"|100|99.6|99.7
"ALMM811023"|100|99.6|99.7
"ALMM81201T"|100|99.6|99.7
"ALMM81202V"|100|99.6|99.7
"ALMM812041"|100|99.6|99.7
"ALMM81301N"|98.2|99.6|99.7
"ALMM81401D"|100|99.6|99.7
"ALMM81402E"|100|99.6|99.7
"ALMM81403G"|100|99.6|99.7
"ALMM816015"|100|99.6|99.7
"ALMM816026"|100|99.6|99.7
"ALMM816037"|100|99.6|99.7
"ALMM817011"|100|99.6|99.7
"ALMM81801R"|100|99.6|99.7
"ALMM81802T"|100|99.6|99.7
"ALMM81803V"|100|99.6|99.7
"ALMM81901L"|100|99.6|99.7
"ALMM82001R"|100|99.6|99.7
"ALMM82002T"|100|99.6|99.7
"ALMM82101L"|97.2|99.6|99.7
"ALMM82102N"|100|99.6|99.7
"ALMM82103P"|100|99.6|99.7
"ALMM82201C"|100|99.6|99.7
"ALMM82202D"|100|99.6|99.7
"ALMM823018"|100|99.6|99.7
"ALMM824014"|98.8|99.6|99.7
"ALMM824025"|100|99.6|99.7
"ALPC00901C"|100|97.2|97.2
"ALPC01601G"|100|97.2|97.2
"ALPM01601Q"|98.3|97.2|97.2
"ALPS001011"|100|97.2|97.2
"ALPS00401C"|100|97.2|97.2
"ALPS00701X"|100|97.2|97.2
"ALPS00901G"|100|97.2|97.2
"ALPS01000P"|100|97.2|97.2
"ALPS020009"|100|97.2|97.2
"ALPS050005"|99.3|97.2|97.2
"ALRC003015"|100|97.2|97.2
"ALRC00601L"|100|97.2|97.2
"ALRC008018"|100|97.2|97.2
"ALRC01301Q"|92.9|97.2|97.2
"ALRC017013"|98.2|97.2|97.2
"ALRI00301T"|100|97.2|97.2
"ALRI01000X"|100|97.2|97.2
"ALSD00101B"|95.7|97.2|97.2
"ALSD00401V"|95.2|97.2|97.2
"ALSL004019"|94.7|97.2|97.2
"ALTA01401C"|96.4|97.2|97.2
"ALTD00301C"|100|97.2|97.2
"ALTD004018"|100|97.2|97.2
"ALTD00601X"|92.7|97.2|97.2
"ALTD00701Q"|100|97.2|97.2
"ALTD013013"|98.2|97.2|97.2
"ALTD01701A"|100|97.2|97.2
"ALTF00301P"|100|97.2|97.2
"ALTF007012"|97.7|97.2|97.2
"ALTF00801T"|100|97.2|97.2
"ALTF01000R"|99|97.2|97.2
"ALTF014015"|98.6|97.2|97.2
"ALTF01701L"|100|97.2|97.2
"ALTL010001"|90|97.2|97.2
"ALTN00301A"|100|97.2|97.2
"ANMM80301N"|100|99.8|99.7
"ANMM80302P"|100|99.8|99.7
"ANMM80303Q"|100|99.8|99.7
"ANMM80401D"|94.7|99.8|99.7
"ANMM80402E"|97.8|99.8|99.7
"ANMM806015"|100|99.8|99.7
"ANMM806026"|100|99.8|99.7
"ANMM807011"|98.9|99.8|99.7
"ANMM80801R"|100|99.8|99.7
"ANMM80802T"|100|99.8|99.7
"ANMM80803V"|100|99.8|99.7
"ANMM80901L"|100|99.8|99.7
"ANMM80902N"|100|99.8|99.7
"ANMM81001R"|100|99.8|99.7
"ANMM81101L"|100|99.8|99.7
"ANMM81201C"|100|99.8|99.7
"ANMM813018"|100|99.8|99.7
