codice_scuola|fascia_voto|diplomati
"AGMM004008"|6|22.5
"AGMM004008"|7|18
"AGMM004008"|8|18
"AGMM004008"|9|22.5
"AGMM004008"|10|18
"AGMM004008"|11|1.1
"AGMM03800B"|6|36.5
"AGMM03800B"|7|29.8
"AGMM03800B"|8|17.1
"AGMM03800B"|9|7.7
"AGMM03800B"|10|8.8
"AGMM03800B"|11|0
"AGMM054009"|6|20.7
"AGMM054009"|7|30
"AGMM054009"|8|22.1
"AGMM054009"|9|15.7
"AGMM054009"|10|11.5
"AGMM054009"|11|0
"AGMM06700B"|6|27.1
"AGMM06700B"|7|20
"AGMM06700B"|8|19.4
"AGMM06700B"|9|16.1
"AGMM06700B"|10|14.2
"AGMM06700B"|11|3.2
"AGMM07200V"|6|38.1
"AGMM07200V"|7|23
"AGMM07200V"|8|16.7
"AGMM07200V"|9|10.7
"AGMM07200V"|10|8.1
"AGMM07200V"|11|3.3
"AGMM80601X"|6|28.3
"AGMM80601X"|7|21.7
"AGMM80601X"|8|23.9
"AGMM80601X"|9|8.7
"AGMM80601X"|10|15.2
"AGMM80601X"|11|2.2
"AGMM80701Q"|6|24.3
"AGMM80701Q"|7|27
"AGMM80701Q"|8|18.9
"AGMM80701Q"|9|16.2
"AGMM80701Q"|10|13.5
"AGMM80701Q"|11|0
"AGMM80702R"|6|28.1
"AGMM80702R"|7|25
"AGMM80702R"|8|12.5
"AGMM80702R"|9|6.3
"AGMM80702R"|10|25
"AGMM80702R"|11|3.1
"AGMM80801G"|6|32.8
"AGMM80801G"|7|14.1
"AGMM80801G"|8|23.4
"AGMM80801G"|9|9.4
"AGMM80801G"|10|20.3
"AGMM80801G"|11|0
"AGMM80901B"|6|27.3
"AGMM80901B"|7|21.2
"AGMM80901B"|8|21.2
"AGMM80901B"|9|18.2
"AGMM80901B"|10|12.1
"AGMM80901B"|11|0
"AGMM81001G"|6|37.5
"AGMM81001G"|7|32.8
"AGMM81001G"|8|21.9
"AGMM81001G"|9|7.8
"AGMM81001G"|10|0
"AGMM81001G"|11|0
"AGMM81002L"|6|75
"AGMM81002L"|7|0
"AGMM81002L"|8|25
"AGMM81002L"|9|0
"AGMM81002L"|10|0
"AGMM81002L"|11|0
"AGMM812017"|6|26.7
"AGMM812017"|7|20
"AGMM812017"|8|16.7
"AGMM812017"|9|16.7
"AGMM812017"|10|0
"AGMM812017"|11|20
"AGMM812028"|6|30.4
"AGMM812028"|7|15.2
"AGMM812028"|8|13
"AGMM812028"|9|10.9
"AGMM812028"|10|26.1
"AGMM812028"|11|4.3
"AGMM813013"|6|15.1
"AGMM813013"|7|35.8
"AGMM813013"|8|11.3
"AGMM813013"|9|17
"AGMM813013"|10|15.1
"AGMM813013"|11|5.7
"AGMM81401V"|6|29
"AGMM81401V"|7|22.6
"AGMM81401V"|8|29
"AGMM81401V"|9|6.5
"AGMM81401V"|10|9.7
"AGMM81401V"|11|3.2
"AGMM81701A"|6|26.8
"AGMM81701A"|7|26.8
"AGMM81701A"|8|10.7
"AGMM81701A"|9|14.3
"AGMM81701A"|10|19.6
"AGMM81701A"|11|1.8
"AGMM818016"|6|29.9
"AGMM818016"|7|26.4
"AGMM818016"|8|21.8
"AGMM818016"|9|9.2
"AGMM818016"|10|12.6
"AGMM818016"|11|0
"AGMM819012"|6|21.8
"AGMM819012"|7|25.5
"AGMM819012"|8|21.8
"AGMM819012"|9|16.4
"AGMM819012"|10|1.8
"AGMM819012"|11|12.7
"AGMM820016"|6|21.9
"AGMM820016"|7|31.3
"AGMM820016"|8|23.4
"AGMM820016"|9|18.8
"AGMM820016"|10|1.6
"AGMM820016"|11|3.1
"AGMM821012"|6|3.4
"AGMM821012"|7|13.8
"AGMM821012"|8|31
"AGMM821012"|9|24.1
"AGMM821012"|10|13.8
"AGMM821012"|11|13.8
"AGMM82201T"|6|15.4
"AGMM82201T"|7|31.6
"AGMM82201T"|8|21.3
"AGMM82201T"|9|18.4
"AGMM82201T"|10|11.8
"AGMM82201T"|11|1.5
"AGMM82301N"|6|26.5
"AGMM82301N"|7|21.2
"AGMM82301N"|8|22.7
"AGMM82301N"|9|12.9
"AGMM82301N"|10|9.1
"AGMM82301N"|11|7.6
"AGMM82302P"|6|8.3
"AGMM82302P"|7|25
"AGMM82302P"|8|25
"AGMM82302P"|9|33.3
"AGMM82302P"|10|0
"AGMM82302P"|11|8.3
"AGMM82401D"|6|34.5
"AGMM82401D"|7|31
"AGMM82401D"|8|20.7
"AGMM82401D"|9|5.2
"AGMM82401D"|10|3.4
"AGMM82401D"|11|5.2
"AGMM826015"|6|38.7
"AGMM826015"|7|22.6
"AGMM826015"|8|16.1
"AGMM826015"|9|3.2
"AGMM826015"|10|19.4
"AGMM826015"|11|0
"AGMM826026"|6|25
"AGMM826026"|7|21.4
"AGMM826026"|8|28.6
"AGMM826026"|9|10.7
"AGMM826026"|10|10.7
"AGMM826026"|11|3.6
"AGMM826037"|6|35.7
"AGMM826037"|7|0
"AGMM826037"|8|28.6
"AGMM826037"|9|21.4
"AGMM826037"|10|14.3
"AGMM826037"|11|0
"AGMM827011"|6|33.3
"AGMM827011"|7|21.2
"AGMM827011"|8|13.6
"AGMM827011"|9|19.7
"AGMM827011"|10|12.1
"AGMM827011"|11|0
"AGMM82801R"|6|35.5
"AGMM82801R"|7|25.8
"AGMM82801R"|8|15.1
"AGMM82801R"|9|18.3
"AGMM82801R"|10|5.4
"AGMM82801R"|11|0
"AGMM82901L"|6|41.9
"AGMM82901L"|7|34.4
"AGMM82901L"|8|12.9
"AGMM82901L"|9|8.6
"AGMM82901L"|10|0
"AGMM82901L"|11|2.2
"AGMM83001R"|6|25.9
"AGMM83001R"|7|19.5
"AGMM83001R"|8|21.8
"AGMM83001R"|9|19.5
"AGMM83001R"|10|9.8
"AGMM83001R"|11|3.4
"AGMM83101L"|6|11.1
"AGMM83101L"|7|22.9
"AGMM83101L"|8|22.9
"AGMM83101L"|9|20.3
"AGMM83101L"|10|18.3
"AGMM83101L"|11|4.6
"AGMM83201C"|6|20.3
"AGMM83201C"|7|28.4
"AGMM83201C"|8|18.9
"AGMM83201C"|9|20.3
"AGMM83201C"|10|12.2
"AGMM83201C"|11|0
"AGMM833018"|6|46.3
"AGMM833018"|7|28.1
"AGMM833018"|8|14.9
"AGMM833018"|9|7.4
"AGMM833018"|10|2.5
"AGMM833018"|11|.8
"AGMM834014"|6|37.7
"AGMM834014"|7|30.3
"AGMM834014"|8|13.1
"AGMM834014"|9|9
"AGMM834014"|10|8.2
"AGMM834014"|11|1.6
"AGMM83601Q"|6|16.2
"AGMM83601Q"|7|35.1
"AGMM83601Q"|8|18.2
"AGMM83601Q"|9|18.9
"AGMM83601Q"|10|10.8
"AGMM83601Q"|11|.7
"AGMM83701G"|6|19
"AGMM83701G"|7|22.8
"AGMM83701G"|8|21.5
"AGMM83701G"|9|17.7
"AGMM83701G"|10|15.2
"AGMM83701G"|11|3.8
"AGMM83702L"|6|21.1
"AGMM83702L"|7|47.4
"AGMM83702L"|8|5.3
"AGMM83702L"|9|21.1
"AGMM83702L"|10|5.3
"AGMM83702L"|11|0
"AGMM83801B"|6|29.4
"AGMM83801B"|7|29.4
"AGMM83801B"|8|16.2
"AGMM83801B"|9|16.2
"AGMM83801B"|10|8.8
"AGMM83801B"|11|0
"AGMM839017"|6|34.8
"AGMM839017"|7|32.6
"AGMM839017"|8|16.9
"AGMM839017"|9|7.9
"AGMM839017"|10|4.5
"AGMM839017"|11|3.4
"AGMM84001B"|6|29
"AGMM84001B"|7|27.5
"AGMM84001B"|8|27.5
"AGMM84001B"|9|13
"AGMM84001B"|10|1.4
"AGMM84001B"|11|1.4
"AGMM841017"|6|26.8
"AGMM841017"|7|26.8
"AGMM841017"|8|24.2
"AGMM841017"|9|10.7
"AGMM841017"|10|11.4
