codscu|area_didattica|immatricolati
"AGPC001017"|"INGEGNERIA"|"2.7"
"AGPC001017"|"ECONOMICO-STATISTICA"|"4.1"
"AGPC001017"|"SCIENTIFICA"|"1.4"
"AGPC001017"|"POLITICO-SOCIALE"|"10.8"
"AGPC001017"|"GEO-BIOLOGICA"|"9.5"
"AGPC001017"|"CHIMICO-FARMACEUTICA"|"6.8"
"AGPC001017"|"EDUCAZIONE FISICA"|"1.4"
"AGPC001017"|"LETTERARIA"|"14.9"
"AGPC001017"|"GIURIDICA"|"27"
"AGPC001017"|"LINGUISTICA"|"6.8"
"AGPC001017"|"MEDICA"|"14.9"
"AGPC008012"|"INGEGNERIA"|"13.5"
"AGPC008012"|"ECONOMICO-STATISTICA"|"8.7"
"AGPC008012"|"SCIENTIFICA"|"1"
"AGPC008012"|"POLITICO-SOCIALE"|"4.8"
"AGPC008012"|"GEO-BIOLOGICA"|"10.6"
"AGPC008012"|"CHIMICO-FARMACEUTICA"|"12.5"
"AGPC008012"|"EDUCAZIONE FISICA"|"1.9"
"AGPC008012"|"LETTERARIA"|"7.7"
"AGPC008012"|"PSICOLOGICA"|"1"
"AGPC008012"|"GIURIDICA"|"13.5"
"AGPC008012"|"LINGUISTICA"|"4.8"
"AGPC008012"|"MEDICA"|"14.4"
"AGPC008012"|"ARCHITETTURA"|"2.9"
"AGPC008012"|"INSEGNAMENTO"|"2.9"
"AGPC010001"|"INGEGNERIA"|"3.2"
"AGPC010001"|"ECONOMICO-STATISTICA"|"6.4"
"AGPC010001"|"SCIENTIFICA"|".6"
"AGPC010001"|"POLITICO-SOCIALE"|"3.2"
"AGPC010001"|"GEO-BIOLOGICA"|"12.8"
"AGPC010001"|"CHIMICO-FARMACEUTICA"|"7.1"
"AGPC010001"|"EDUCAZIONE FISICA"|"1.9"
"AGPC010001"|"LETTERARIA"|"15.4"
"AGPC010001"|"PSICOLOGICA"|"1.3"
"AGPC010001"|"GIURIDICA"|"31.4"
"AGPC010001"|"LINGUISTICA"|"2.6"
"AGPC010001"|"MEDICA"|"9.6"
"AGPC010001"|"ARCHITETTURA"|"3.2"
"AGPC010001"|"AGRARIO"|"1.3"
"AGPC02000G"|"INGEGNERIA"|"9"
"AGPC02000G"|"ECONOMICO-STATISTICA"|"1.1"
"AGPC02000G"|"POLITICO-SOCIALE"|"13.5"
"AGPC02000G"|"GEO-BIOLOGICA"|"10.1"
"AGPC02000G"|"CHIMICO-FARMACEUTICA"|"13.5"
"AGPC02000G"|"LETTERARIA"|"4.5"
"AGPC02000G"|"PSICOLOGICA"|"2.2"
"AGPC02000G"|"GIURIDICA"|"20.2"
