cod_scuola|anno_corso|scuola|regione|nazionale
"AGEE00101V"|1|0.0|1.0|0.6
"AGEE00101V"|2|0.0|0.6|0.3
"AGEE00101V"|3|0.0|0.4|0.2
"AGEE00101V"|4|0.0|0.3|0.2
"AGEE00101V"|5|0.0|0.4|0.3
"AGEE001042"|1|0.0|1.0|0.6
"AGEE001042"|2|0.0|0.6|0.3
"AGEE001042"|3|0.0|0.4|0.2
"AGEE001042"|4|0.0|0.3|0.2
"AGEE001042"|5|0.0|0.4|0.3
"AGEE00206X"|1|0.0|1.0|0.6
"AGEE00206X"|2|0.0|0.6|0.3
"AGEE00206X"|3|0.0|0.4|0.2
"AGEE00206X"|4|0.0|0.3|0.2
"AGEE00206X"|5|0.0|0.4|0.3
"AGEE002082"|1|0.0|1.0|0.6
"AGEE002082"|2|0.0|0.6|0.3
"AGEE002082"|3|0.0|0.4|0.2
"AGEE002082"|4|0.0|0.3|0.2
"AGEE002082"|5|0.0|0.4|0.3
"AGEE002116"|1|0.0|1.0|0.6
"AGEE002116"|2|0.0|0.6|0.3
"AGEE002116"|3|0.0|0.4|0.2
"AGEE002116"|4|0.0|0.3|0.2
"AGEE002116"|5|0.0|0.4|0.3
"AGEE00302G"|1|0.9|1.0|0.6
"AGEE00302G"|2|1.0|0.6|0.3
"AGEE00302G"|3|0.0|0.4|0.2
"AGEE00302G"|4|0.0|0.3|0.2
"AGEE00302G"|5|0.9|0.4|0.3
"AGEE00401A"|1|10.0|1.0|0.6
"AGEE00401A"|2|0.0|0.6|0.3
"AGEE00401A"|3|0.0|0.4|0.2
"AGEE00401A"|4|4.5|0.3|0.2
"AGEE00401A"|5|0.0|0.4|0.3
"AGEE00408N"|1|0.0|1.0|0.6
"AGEE00408N"|2|0.0|0.6|0.3
"AGEE00408N"|3|0.0|0.4|0.2
"AGEE00408N"|4|3.4|0.3|0.2
"AGEE00408N"|5|0.0|0.4|0.3
"AGEE005016"|1|0.0|1.0|0.6
"AGEE005016"|2|0.0|0.6|0.3
"AGEE005016"|3|0.0|0.4|0.2
"AGEE005016"|4|0.0|0.3|0.2
"AGEE005016"|5|0.0|0.4|0.3
"AGEE005049"|1|0.0|1.0|0.6
"AGEE005049"|2|0.0|0.6|0.3
"AGEE005049"|3|0.0|0.4|0.2
"AGEE005049"|4|0.0|0.3|0.2
"AGEE005049"|5|0.0|0.4|0.3
"AGEE00509E"|1|0.0|1.0|0.6
"AGEE00509E"|2|0.0|0.6|0.3
"AGEE00509E"|3|0.0|0.4|0.2
"AGEE00509E"|4|0.0|0.3|0.2
"AGEE00509E"|5|0.0|0.4|0.3
