codice_scuola|ammessi|non_ammessi|sospesi
"AGMM004008"|95.4|4.6|0
"AGMM01500P"|85.2|14.8|0
"AGMM03800B"|94|6|0
"AGMM054009"|94.3|5.7|0
"AGMM06700B"|91.5|8.5|0
"AGMM07200V"|95.5|4.5|0
"AGMM805014"|93.3|6.7|0
"AGMM805025"|88|12|0
"AGMM80601X"|88.1|11.9|0
"AGMM80701Q"|91.9|8.1|0
"AGMM80702R"|100|0|0
"AGMM80801G"|94.5|5.5|0
"AGMM80901B"|92.6|7.4|0
"AGMM81001G"|83.3|16.7|0
"AGMM81002L"|100|0|0
"AGMM812017"|95.2|4.8|0
"AGMM812028"|93.3|6.7|0
"AGMM813013"|92.8|7.2|0
"AGMM81401V"|99.1|.9|0
"AGMM81501P"|88.6|11.4|0
"AGMM81701A"|89.2|10.8|0
"AGMM818016"|98.4|1.6|0
"AGMM819012"|92.8|7.2|0
"AGMM820016"|97.5|2.5|0
"AGMM821012"|100|0|0
"AGMM82201T"|94.7|5.3|0
"AGMM82301N"|95.6|4.4|0
"AGMM82302P"|90.9|9.1|0
"AGMM82401D"|84.7|15.3|0
"AGMM825019"|97.1|2.9|0
"AGMM826015"|95.6|4.4|0
"AGMM826026"|98.3|1.7|0
"AGMM826037"|97.4|2.6|0
"AGMM827011"|94|6|0
"AGMM82801R"|84.6|15.4|0
"AGMM82901L"|85.2|14.8|0
"AGMM83001R"|97.7|2.3|0
"AGMM83101L"|94.9|5.1|0
"AGMM83201C"|95.3|4.7|0
"AGMM833018"|90|10|0
"AGMM834014"|94.5|5.5|0
"AGMM83501X"|99|1|0
"AGMM83601Q"|91.2|8.8|0
"AGMM83701G"|90|10|0
"AGMM83702L"|87.7|12.3|0
"AGMM83801B"|95.3|4.7|0
"AGMM839017"|85.5|14.5|0
"AGMM84001B"|94.7|5.3|0
"AGMM841017"|93.9|6.1|0
"AGMM842013"|88.2|11.8|0
"AGMM842024"|100|0|0
"AGMM84301V"|96.2|3.8|0
"AGMM84401P"|92.9|7.1|0
"AGMM84501E"|91.7|8.3|0
"AGMM84601A"|93.9|6.1|0
"AGMM84602B"|100|0|0
"AGMM84603C"|96.9|3.1|0
"AGMM847016"|94.8|5.2|0
"AGMM848012"|96.6|3.4|0
"AGMM84901T"|76.2|23.8|0
"AGMM850012"|88|12|0
"AGMM85101T"|94.9|5.1|0
"AGMM85201N"|85.5|14.5|0
"AGPC001017"|93.3|1.3|5.4
"AGPC008012"|85.3|3.2|11.5
"AGPC010001"|89.4|1.1|9.5
"AGPC02000G"|82|4.1|13.9
"AGPC060002"|74.1|9.1|16.9
"AGPM002017"|82.4|4.3|13.4
"AGPM010005"|73.6|8.5|17.9
"AGPM02000Q"|75.6|6.4|18
"AGPM03000A"|82.8|3.4|13.7
"AGPM060006"|75|2.9|22.1
"AGPS00101A"|81.5|2.9|15.6
"AGPS002016"|84.7|3.4|11.8
"AGPS002027"|85.9|2.4|11.8
"AGPS008015"|88.6|3|8.4
"AGPS02000P"|80.7|4.9|14.4
"AGPS030009"|86.8|2.1|11.1
"AGPS05000E"|66.1|18.5|15.5
"AGPS060005"|78.1|3.3|18.7
"AGPS08000A"|47.2|21.5|31.3
"AGRA00301G"|45|38.3|16.7
"AGRC01000L"|70.7|13.7|15.6
"AGRC01001N"|86.2|13.8|0
"AGRC01005T"|78.5|10.2|11.2
"AGRC01601L"|78.5|21.5|0
"AGRC01602N"|76.8|21|2.2
"AGRH01201E"|50.2|26.1|23.7
"AGRH01301A"|44.8|22.6|32.6
"AGRH02000C"|62.7|18.6|18.6
"AGRH02001D"|60|40|0
"AGRI00601P"|57.8|13.3|28.9
"AGRI010009"|53|21.3|25.7
"AGRI011016"|50.3|22|27.7
"AGRI02000X"|59.3|11.3|29.4
"AGRI020011"|67.5|4.3|28.2
"AGRI040005"|67.7|18.5|13.8
"AGRI040016"|66.1|23.9|10.1
"AGRI040027"|43.4|32.1|24.5
"AGRI090006"|44.2|40.4|15.4
"AGRI090017"|31.9|60.7|7.4
"AGSD01000E"|81|2.9|16.1
"AGTA012016"|77.9|5.1|16.9
"AGTD00301T"|41.8|31|27.2
"AGTD00302V"|62.5|21.4|16.1
"AGTD006019"|85|6.5|8.5
"AGTD01301C"|60.2|18.3|21.5
"AGTD01351T"|87.5|12.5|0
"AGTD014018"|78.1|7.7|14.2
"AGTD01601X"|83.2|10.2|6.6
"AGTD016519"|94.4|5.6|0
"AGTD02000E"|53.4|19.1|27.5
"AGTD030005"|57.8|15.1|27.2
"AGTD03050E"|87.5|12.5|0
"AGTD09000R"|55.9|14.9|29.3
"AGTD09001T"|68.3|9.8|22
"AGTL011017"|64.4|12.2|23.3
"AGTL01401P"|70|6.5|23.5
"ALMM081008"|92.7|7.3|0
"ALMM082004"|91.8|8.2|0
"ALMM08300X"|94|6|0
"ALMM083011"|98.4|1.6|0
"ALMM08400Q"|94.7|5.3|0
"ALMM08401R"|95.7|4.3|0
"ALMM08600B"|91.7|8.3|0
"ALMM08601C"|91.6|8.4|0
"ALMM08602D"|92.5|7.5|0
"ALMM087007"|94.7|5.3|0
"ALMM08900V"|91.7|8.3|0
"ALMM80501P"|96.2|3.8|0
"ALMM80502Q"|89.5|10.5|0
"ALMM80601E"|98.8|1.3|0
"ALMM80602G"|97|3|0
"ALMM80701A"|87.1|12.9|0
"ALMM80702B"|92.4|7.6|0
"ALMM808016"|90.1|9.9|0
"ALMM808027"|100|0|0
"ALMM809012"|99.2|.8|0
"ALMM809023"|94.1|5.9|0
"ALMM810016"|89.4|10.6|0
"ALMM810027"|99|1|0
"ALMM811012"|91.4|8.6|0
"ALMM811023"|92.4|7.6|0
"ALMM81201T"|97.8|2.2|0
"ALMM81202V"|100|0|0
"ALMM812041"|98.3|1.7|0
"ALMM81301N"|87.9|12.1|0
"ALMM81401D"|96|4|0
"ALMM81402E"|93.5|6.5|0
"ALMM81403G"|100|0|0
"ALMM815019"|88.9|11.1|0
"ALMM816015"|91.1|8.9|0
"ALMM816026"|91.7|8.3|0
"ALMM816037"|90.6|9.4|0
"ALMM817011"|92.9|7.1|0
"ALMM81801R"|93.2|6.8|0
"ALMM81802T"|95.1|4.9|0
"ALMM81803V"|100|0|0
"ALMM81901L"|94.4|5.6|0
"ALMM82001R"|92.1|7.9|0
"ALMM82002T"|94.1|5.9|0
"ALMM82101L"|92.9|7.1|0
"ALMM82102N"|100|0|0
"ALMM82103P"|100|0|0
"ALMM82201C"|95.6|4.4|0
"ALMM82202D"|89.6|10.4|0
"ALMM823018"|88.1|11.9|0
"ALMM824014"|88.4|11.6|0
"ALMM824025"|88.9|11.1|0
"ALMM82501X"|99.3|.7|0
"ALPC00901C"|79.4|4.5|16.2
"ALPC01601G"|81.4|3.9|14.7
"ALPM01601Q"|61.8|7.5|30.7
"ALPS001011"|77.7|3.5|18.8
"ALPS00401C"|81.7|1.5|16.8
"ALPS00701X"|86.5|3|10.5
"ALPS00901G"|84.1|1.7|14.2
"ALPS01000P"|71.3|6.7|22.1
"ALPS020009"|83.3|5.1|11.6
"ALPS050005"|78.7|4.8|16.6
"ALRC003015"|69.7|18.2|12.1
"ALRC00601L"|62|12.7|25.4
"ALRC008018"|61.5|14.2|24.3
"ALRC01301Q"|81.2|5.9|12.9
"ALRC017013"|69.1|4.1|26.7
"ALRI00301T"|35.4|23.6|40.9
"ALRI01000X"|49.6|16.5|33.8
"ALSD00101B"|76|8.2|15.8
"ALSD00401V"|66.7|11.1|22.2
"ALSL004019"|82.6|6|11.4
"ALTA01401C"|62.1|12.6|25.2
"ALTD00301C"|75.4|7|17.6
"ALTD004018"|70.6|9.2|20.3
"ALTD00601X"|59|15.3|25.7
"ALTD00701Q"|86.9|12.7|.5
"ALTD00801G"|53.5|12.1|34.3
"ALTD013013"|74.5|9.8|15.7
"ALTD01701A"|69.5|7.1|23.4
"ALTF00301P"|58.3|14.3|27.4
"ALTF007012"|57.2|14.4|28.4
"ALTF00801T"|55.7|13.6|30.8
"ALTF01000R"|58.2|12.9|28.9
"ALTF014015"|68.5|9.1|22.3
"ALTF01701L"|66.4|8.2|25.5
"ALTL010001"|66|9.3|24.7
"ALTN00301A"|64|10.7|25.3
"ALTN013011"|90.6|0|9.4
"ANMM80301N"|94.2|5.8|0
"ANMM80302P"|97.7|2.3|0
