codice_scuola|ammessi|non_ammessi
"AGPC001017"|98.7|1.3
"AGPC008012"|96.6|3.4
"AGPC010001"|98.7|1.3
"AGPC02000G"|95.9|4.1
"AGPC060002"|90.4|9.6
"AGPM002017"|94.7|5.3
"AGPM010005"|91.4|8.6
"AGPM02000Q"|93.2|6.8
"AGPM03000A"|96.1|3.9
"AGPM060006"|97.1|2.9
"AGPS00101A"|96.9|3.1
"AGPS002016"|96.6|3.4
"AGPS002027"|97.6|2.4
"AGPS008015"|95.8|4.2
"AGPS02000P"|94.9|5.1
"AGPS030009"|97.4|2.6
"AGPS05000E"|80.6|19.4
"AGPS060005"|95.2|4.8
"AGPS08000A"|75.7|24.3
"AGRA00301G"|61.7|38.3
"AGRC01000L"|83.8|16.2
"AGRC01001N"|86.2|13.8
"AGRC01005T"|88.5|11.5
"AGRC01601L"|78.5|21.5
"AGRC01602N"|79|21
"AGRH01201E"|73.2|26.8
"AGRH01301A"|75.2|24.8
"AGRH02000C"|80.2|19.8
"AGRH02001D"|60|40
"AGRI00601P"|80|20
"AGRI010009"|77.4|22.6
"AGRI011016"|76.1|23.9
"AGRI02000X"|88.2|11.8
"AGRI020011"|94.9|5.1
"AGRI040005"|81.1|18.9
"AGRI040016"|76.1|23.9
"AGRI040027"|66.7|33.3
"AGRI090006"|59.6|40.4
"AGRI090017"|39.3|60.7
"AGSD01000E"|97.1|2.9
"AGTA012016"|94.9|5.1
"AGTD00301T"|67.6|32.4
"AGTD00302V"|78|22
"AGTD006019"|92|8
"AGTD01301C"|81.7|18.3
"AGTD01351T"|87.5|12.5
"AGTD014018"|92.3|7.7
"AGTD01601X"|89.8|10.2
"AGTD016519"|94.4|5.6
"AGTD02000E"|80.8|19.2
"AGTD030005"|84.5|15.5
"AGTD03050E"|87.5|12.5
"AGTD09000R"|84.5|15.5
"AGTD09001T"|90.2|9.8
"AGTL011017"|87.8|12.2
"AGTL01401P"|93.5|6.5
"ALPC00901C"|93.8|6.2
"ALPC01601G"|95.5|4.5
"ALPM01601Q"|89.8|10.2
"ALPS001011"|95.6|4.4
"ALPS00401C"|97.9|2.1
"ALPS00701X"|96.7|3.3
"ALPS00901G"|97.5|2.5
"ALPS01000P"|90.4|9.6
"ALPS020009"|93.8|6.3
"ALPS050005"|94.8|5.2
"ALRC003015"|81.8|18.2
"ALRC00601L"|84.5|15.5
"ALRC008018"|84.5|15.5
"ALRC01301Q"|94.1|5.9
"ALRC017013"|93.5|6.5
"ALRI00301T"|72.4|27.6
"ALRI01000X"|83.5|16.5
"ALSD00101B"|91.3|8.7
"ALSD00401V"|88.9|11.1
"ALSL004019"|92.9|7.1
"ALTA01401C"|84|16
"ALTD00301C"|93|7
"ALTD004018"|87.6|12.4
"ALTD00601X"|84.5|15.5
"ALTD00701Q"|87.3|12.7
"ALTD00801G"|85.9|14.1
"ALTD013013"|88.7|11.3
"ALTD01701A"|90.3|9.7
"ALTF00301P"|85|15
"ALTF007012"|85.6|14.4
"ALTF00801T"|85.1|14.9
"ALTF01000R"|85.3|14.7
"ALTF014015"|88.6|11.4
"ALTF01701L"|90|10
"ALTL010001"|89.1|10.9
"ALTN00301A"|87.6|12.4
"ALTN013011"|100|0
"ANPC010006"|94.6|5.4
"ANPC03000B"|94.3|5.7
"ANPC040002"|93.3|6.7
"ANPC060007"|95.2|4.8
"ANPS00201B"|97.3|2.7
