cod_scuola|anno_corso|entrate|uscite
"AGEE00101V"|1|0|2.4
"AGEE00101V"|2|2.6|5.1
"AGEE00101V"|3|1.8|0
"AGEE00101V"|4|0|0
"AGEE00101V"|5|0|0
"AGEE001042"|1|0|5.3
"AGEE001042"|2|0|0
"AGEE001042"|3|0|0
"AGEE001042"|4|0|0
"AGEE001042"|5|0|2.8
"AGEE00206X"|1|4.7|2.3
"AGEE00206X"|2|0|0
"AGEE00206X"|3|7.1|7.1
"AGEE00206X"|4|0|0
"AGEE00206X"|5|0|0
"AGEE002082"|1|0|25
"AGEE002082"|2|0|0
"AGEE002082"|3|0|0
"AGEE002082"|4|9.5|9.5
"AGEE002082"|5|0|0
"AGEE002116"|1|0|4.8
"AGEE002116"|2|0|0
"AGEE002116"|3|3.4|3.4
"AGEE002116"|4|0|4.5
"AGEE002116"|5|0|0
"AGEE00302G"|1|4.9|9.8
"AGEE00302G"|2|2|5
"AGEE00302G"|3|5.1|4.1
"AGEE00302G"|4|3.6|2.4
"AGEE00302G"|5|.8|13.6
"AGEE00401A"|1|5.3|5.3
"AGEE00401A"|2|0|0
"AGEE00401A"|3|0|0
"AGEE00401A"|4|0|4.5
"AGEE00401A"|5|0|6.3
"AGEE00408N"|1|0|0
"AGEE00408N"|2|0|0
"AGEE00408N"|3|0|0
"AGEE00408N"|4|0|3.4
"AGEE00408N"|5|0|0
"AGEE005016"|1|0|0
"AGEE005016"|2|0|0
"AGEE005016"|3|0|0
"AGEE005016"|4|0|0
"AGEE005016"|5|0|0
"AGEE005049"|1|0|0
"AGEE005049"|2|0|0
"AGEE005049"|3|0|0
"AGEE005049"|4|0|0
"AGEE005049"|5|0|0
"AGEE00509E"|1|0|0
"AGEE00509E"|2|0|0
"AGEE00509E"|3|0|0
"AGEE00509E"|4|0|0
"AGEE00509E"|5|0|0
"AGEE00801N"|1|0|0
"AGEE00801N"|2|0|0
"AGEE00801N"|3|0|0
"AGEE00801N"|4|0|0
"AGEE00801N"|5|0|0
"AGEE00803Q"|1|0|0
"AGEE00803Q"|2|0|0
"AGEE00803Q"|3|0|0
"AGEE00803Q"|4|0|0
"AGEE00803Q"|5|0|0
"AGEE00804R"|1|0|0
"AGEE00804R"|2|0|0
"AGEE00804R"|3|0|0
"AGEE00804R"|4|0|0
"AGEE00804R"|5|0|0
"AGEE008081"|1||
"AGEE008081"|2|0|0
"AGEE008081"|3|0|0
"AGEE008081"|4|0|0
"AGEE008081"|5|0|0
"AGEE00901D"|1|0|0
"AGEE00901D"|2|0|1.5
"AGEE00901D"|3|0|1.6
"AGEE00901D"|4|0|0
"AGEE00901D"|5|0|0
"AGEE00903G"|1|0|0
"AGEE00903G"|2|0|0
"AGEE00903G"|3|0|0
"AGEE00903G"|4|0|0
"AGEE00903G"|5|0|0
"AGEE01001N"|1|2.2|2.2
"AGEE01001N"|2|0|1.2
"AGEE01001N"|3|2.1|2.1
"AGEE01001N"|4|3.1|3.1
"AGEE01001N"|5|0|2.9
"AGEE01003Q"|1|3.8|3.8
"AGEE01003Q"|2|0|2.8
"AGEE01003Q"|3|2|0
"AGEE01003Q"|4|6.4|2.1
"AGEE01003Q"|5|2.1|0
"AGEE01102E"|1|0|0
"AGEE01102E"|2|0|0
"AGEE01102E"|3|0|0
"AGEE01102E"|4|0|0
"AGEE01102E"|5|0|0
"AGEE01104L"|1|0|2.9
"AGEE01104L"|2|1.8|0
"AGEE01104L"|3|0|0
"AGEE01104L"|4|0|1.2
"AGEE01104L"|5|0|0
"AGEE01504X"|1|0|0
"AGEE01504X"|2|0|0
"AGEE01504X"|3|0|0
"AGEE01504X"|4|0|0
"AGEE01504X"|5|2.6|2.6
"AGEE015051"|1|0|0
"AGEE015051"|2|0|0
"AGEE015051"|3|0|0
"AGEE015051"|4|0|0
"AGEE015051"|5|0|0
"AGEE015062"|1|0|0
"AGEE015062"|2||
"AGEE015062"|3||
"AGEE015062"|4|0|0
"AGEE015062"|5|0|0
"AGEE01601L"|1|0|1.4
"AGEE01601L"|2|0|0
"AGEE01601L"|3|0|0
"AGEE01601L"|4|0|0
"AGEE01601L"|5|0|0
"AGEE01604Q"|1|2.4|3.7
"AGEE01604Q"|2|0|0
"AGEE01604Q"|3|0|0
"AGEE01604Q"|4|0|0
"AGEE01604Q"|5|0|.8
"AGEE019014"|1|0|0
"AGEE019014"|2|1|1
"AGEE019014"|3|7.4|7.4
"AGEE019014"|4|7.1|7.1
"AGEE019014"|5|3.2|3.2
"AGEE019036"|1|0|0
"AGEE019036"|2|1.8|1.8
"AGEE019036"|3|0|0
"AGEE019036"|4|0|0
"AGEE019036"|5|0|0
"AGEE02003A"|1|0|8.3
"AGEE02003A"|2|0|0
"AGEE02003A"|3|0|0
"AGEE02003A"|4|0|0
"AGEE02003A"|5|0|0
"AGEE02029G"|1|10|0
"AGEE02029G"|2|0|0
"AGEE02029G"|3|0|0
"AGEE02029G"|4|0|3
"AGEE02029G"|5|3.6|0
"AGEE021014"|1|22.6|6.5
"AGEE021014"|2|2.7|8.1
"AGEE021014"|3|5|0
"AGEE021014"|4|5.7|8.6
"AGEE021014"|5|0|0
"AGEE021036"|1|10.3|10.3
"AGEE021036"|2|6.9|0
"AGEE021036"|3|2.6|3.9
"AGEE021036"|4|6.1|3
"AGEE021036"|5|2.4|0
"AGEE02201X"|1|6|9.5
"AGEE02201X"|2|1.3|0
"AGEE02201X"|3|1.3|0
"AGEE02201X"|4|0|0
"AGEE02201X"|5|1.5|3
"AGEE02405Q"|1||
"AGEE02405Q"|2|1.7|0
"AGEE02405Q"|3|3|0
"AGEE02405Q"|4||
"AGEE02405Q"|5||
"AGEE02406R"|1|1.2|0
"AGEE02406R"|2||
"AGEE02406R"|3||
"AGEE02406R"|4|2.1|0
"AGEE02406R"|5|1.9|0
"AGEE02407T"|1|2.4|2.4
"AGEE02407T"|2|2.5|0
"AGEE02407T"|3|0|0
"AGEE02407T"|4|0|0
"AGEE02407T"|5|0|0
"AGEE02408V"|1|0|3.3
"AGEE02408V"|2|0|5.6
"AGEE02408V"|3|0|0
"AGEE02408V"|4|5.6|0
"AGEE02408V"|5|0|0
"AGEE02604A"|1|0|0
"AGEE02604A"|2|0|0
"AGEE02604A"|3|0|0
"AGEE02604A"|4|0|0
"AGEE02604A"|5|0|0
"AGEE02605B"|1|0|0
"AGEE02605B"|2|0|0
"AGEE02605B"|3|0|0
"AGEE02605B"|4|0|0
"AGEE02605B"|5|0|0
"AGEE02801V"|1|11.5|3.8
"AGEE02801V"|2|1.9|1.9
"AGEE02801V"|3|1.3|3.8
"AGEE02801V"|4|1.8|7
