Country,Day, % pos.,Geographic spread
Austria,30/09/2013,,0
Belarus,30/09/2013,0,0
Belgium,30/09/2013,,0
Bulgaria,30/09/2013,,0
Denmark,30/09/2013,,0
Estonia,30/09/2013,,0
Europe,30/09/2013,,0
Finland,30/09/2013,,0
France,30/09/2013,,1
Georgia,30/09/2013,0,0
Germany,30/09/2013,,0
Greece,30/09/2013,,0
Hungary,30/09/2013,,0
Ireland,30/09/2013,,0
Israel,30/09/2013,,0
Kazakhstan,30/09/2013,0,0
Lithuania,30/09/2013,,1
Luxembourg,30/09/2013,,0
Netherlands,30/09/2013,,0
Norway,30/09/2013,,1
Poland,30/09/2013,,0
Portugal,30/09/2013,,0
Republic of Moldova,30/09/2013,,0
Romania,30/09/2013,,0
Russian Federation,30/09/2013,,0
Serbia,30/09/2013,,0
Slovakia,30/09/2013,,0
Slovenia,30/09/2013,,0
Spain,30/09/2013,,0
Sweden,30/09/2013,,0
Ukraine,30/09/2013,,0
United Kingdom - England,30/09/2013,,0
United Kingdom - Scotland,30/09/2013,,1
United Kingdom - Wales,30/09/2013,,0
Austria,07/10/2013,,0
Belarus,07/10/2013,0,0
Belgium,07/10/2013,0,0
Bulgaria,07/10/2013,,0
Czech Republic,07/10/2013,,0
Denmark,07/10/2013,,0
Estonia,07/10/2013,0,0
Europe,07/10/2013,"0,3",0
Finland,07/10/2013,0,2
France,07/10/2013,0,1
Georgia,07/10/2013,0,0
Germany,07/10/2013,0,0
Greece,07/10/2013,,0
Ireland,07/10/2013,0,0
Israel,07/10/2013,0,0
Kazakhstan,07/10/2013,0,0
Lithuania,07/10/2013,0,0
Luxembourg,07/10/2013,0,0
Netherlands,07/10/2013,0,0
Norway,07/10/2013,0,1
Poland,07/10/2013,0,0
Portugal,07/10/2013,,0
Republic of Moldova,07/10/2013,0,0
Romania,07/10/2013,0,0
Russian Federation,07/10/2013,0,0
Serbia,07/10/2013,,0
Slovakia,07/10/2013,,0
Slovenia,07/10/2013,0,0
Spain,07/10/2013,"2,3",0
Sweden,07/10/2013,0,0
Switzerland,07/10/2013,0,0
Ukraine,07/10/2013,0,0
United Kingdom - England,07/10/2013,0,0
United Kingdom - Northern Ireland,07/10/2013,0,0
United Kingdom - Scotland,07/10/2013,0,1
Uzbekistan,07/10/2013,,1
Austria,14/10/2013,,0
Belarus,14/10/2013,0,0
Belgium,14/10/2013,0,0
Bulgaria,14/10/2013,,0
Czech Republic,14/10/2013,,0
Denmark,14/10/2013,"28,6",1
Estonia,14/10/2013,0,0
Europe,14/10/2013,"1,1",0
Finland,14/10/2013,0,0
France,14/10/2013,0,1
Georgia,14/10/2013,0,0
Germany,14/10/2013,0,0
Greece,14/10/2013,,0
Hungary,14/10/2013,0,0
Ireland,14/10/2013,0,0
Israel,14/10/2013,"9,1",0
Kazakhstan,14/10/2013,0,0
Lithuania,14/10/2013,0,0
Luxembourg,14/10/2013,0,0
Netherlands,14/10/2013,0,0
Norway,14/10/2013,0,1
Poland,14/10/2013,0,0
Portugal,14/10/2013,,0
Republic of Moldova,14/10/2013,0,0
Romania,14/10/2013,0,0
Russian Federation,14/10/2013,0,1
Serbia,14/10/2013,,0
Slovakia,14/10/2013,0,0
Slovenia,14/10/2013,0,0
Spain,14/10/2013,0,0
Sweden,14/10/2013,0,0
Switzerland,14/10/2013,,0
Turkey,14/10/2013,,0
Ukraine,14/10/2013,0,0
United Kingdom - England,14/10/2013,0,0
United Kingdom - Northern Ireland,14/10/2013,,0
United Kingdom - Scotland,14/10/2013,0,0
United Kingdom - Wales,14/10/2013,,0
Uzbekistan,14/10/2013,,0
Austria,21/10/2013,,0
Belarus,21/10/2013,0,0
Belgium,21/10/2013,0,0
Bulgaria,21/10/2013,,0
Czech Republic,21/10/2013,"6,7",0
Denmark,21/10/2013,25,1
Estonia,21/10/2013,0,0
Europe,21/10/2013,"2,4",0
Finland,21/10/2013,0,0
France,21/10/2013,0,1
Georgia,21/10/2013,0,0
Germany,21/10/2013,0,0
Greece,21/10/2013,,0
Hungary,21/10/2013,0,0
Ireland,21/10/2013,0,0
Israel,21/10/2013,"16,1",0
Italy,21/10/2013,,0
