country;oecd mean;PPS;pisa 2012
Romania;below;1970;445
Bulgaria;below;2463;439
Lithuania;below;3196;479
Latvia;average;3511;491
Poland;above;3578;518
Estonia;above;3716;521
Hungary;below;3897;477
Croatia;below;3964;471
Czech Republic;average;4371;499
Greece;below;4479;453
Portugal;average;5044;487
Ireland;above;6023;501
Italy;below;6281;485
Slovenia;above;6327;501
Spain;below;6567;484
Finland;above;6797;519
France;average;6849;495
Germany;above;6976;514
Belgium;above;7371;515
Japan;above;7442;536
Sweden;below;7792;478
United Kingdom;average;7811;494
Iceland;average;7862;493
Netherlands;above;7998;523
Cyprus;below;8000;440
Austria;above;8735;506
Denmark;above;8812;500
Norway;average;9758;489
United States;below;11254;481
